11-29-2023, 10:25:03:38, sync, seq, vsense, vrefint, temp1, temp2, temp3, temp4, busvmon, busimon, 2v5mov, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon
11-29-2023, 10:25:08:124, , , , , , , , , , , , , , , , , , , 
11-29-2023, 10:25:08:244, 0xCCCC , , , , , , , , , , , , , , , , , , 
11-29-2023, 10:25:08:364, 0xCCCC , , , , , , , , , , , , , , , , , , 
11-29-2023, 10:25:08:513, 0xCCCC , , , , , , , , , , , , , , , , , , 
11-29-2023, 10:25:08:633, 0xCCCC , , , , , , , , , , , , , , , , , , 
11-29-2023, 10:25:08:752, 0xCCCC , , , , , , , , , , , , , , , , , , 
11-29-2023, 10:25:08:871, 0xCCCC , 1949 , 1.473, 0.251, 21.500, 22.000, 22.600, 3994.620, 1.529, 1.579, 1.448, 1.625, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:08:989, 0xCCCC , 1949 , 1.473, 0.251, 21.500, 22.000, 22.600, 3994.620, 1.529, 1.579, 1.448, 1.625, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:09:138, 0xCCCC , 1949 , 1.473, 0.251, 21.500, 22.000, 22.600, 3994.620, 1.529, 1.579, 1.448, 1.625, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:09:257, 0xCCCC , 1949 , 1.473, 0.251, 21.500, 22.000, 22.600, 3994.620, 1.529, 1.579, 1.448, 1.625, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:09:377, 0xCCCC , 1949 , 1.473, 0.251, 21.500, 22.000, 22.600, 3994.620, 1.529, 1.579, 1.448, 1.625, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:09:498, 0xCCCC , 24585 , 32.076, 8.821, 3968.430, 3984.500, 3904.500, 3936.430, 46.892, 30.763, 35.452, 26.449, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:09:617, 0xCCCC , 24585 , 32.076, 8.821, 3968.430, 3984.500, 3904.500, 3936.430, 46.892, 30.763, 35.452, 26.449, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:09:767, 0xCCCC , 24585 , 32.076, 8.821, 3968.430, 3984.500, 3904.500, 3936.430, 46.892, 30.763, 35.452, 26.449, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:09:855, 0xCCCC , 24585 , 32.076, 8.821, 3968.430, 3984.500, 3904.500, 3936.430, 46.892, 30.763, 35.452, 26.449, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:10:5, 0xCCCC , 24585 , 32.076, 8.821, 3968.430, 3984.500, 3904.500, 3936.430, 46.892, 30.763, 35.452, 26.449, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:10:125, 0xCCCC , 2213 , 1.505, 1.445, 3968.120, 3977.810, 125.620, 3936.430, 46.892, 30.763, 35.452, 26.449, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:10:243, 0xCCCC , 2213 , 1.505, 1.445, 3968.120, 3977.810, 125.620, 3936.430, 46.892, 30.763, 35.452, 26.449, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:10:363, 0xCCCC , 2213 , 1.505, 1.445, 3968.120, 3977.810, 125.620, 3936.430, 46.892, 30.763, 35.452, 26.449, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:10:483, 0xCCCC , 2213 , 1.505, 1.445, 3968.120, 3977.810, 125.620, 3936.430, 46.892, 30.763, 35.452, 26.449, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:10:602, 0xCCCC , 2213 , 1.505, 1.445, 3968.120, 3977.810, 125.620, 3936.430, 46.892, 30.763, 35.452, 26.449, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:10:753, 0xCCCC , 2213 , 1.505, 1.445, 3968.120, 3977.810, 125.620, 3936.430, 46.892, 30.763, 35.452, 26.449, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:10:872, 0xCCCC , 2213 , 1.505, 1.445, 3968.120, 3977.810, 125.620, 3936.430, 46.892, 30.763, 35.452, 26.449, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:10:991, 0xCCCC , 2213 , 1.505, 1.445, 3968.120, 3977.810, 125.620, 3936.430, 46.892, 30.763, 35.452, 26.449, 1.516, 1.484, 1.614, 1.453, 1.601, 1.452, 
11-29-2023, 10:25:11:109, 0xCCCC , 56833 , 16.317, 16.505, 3840.600, 3856.560, 4000.500, 3968.500, 25.886, 29.638, 36.765, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:11:232, 0xCCCC , 56833 , 16.317, 16.505, 3840.600, 3856.560, 4000.500, 3968.500, 25.886, 29.638, 36.765, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:11:381, 0xCCCC , 56833 , 16.317, 16.505, 3840.600, 3856.560, 4000.500, 3968.500, 25.886, 29.638, 36.765, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:11:499, 0xCCCC , 56833 , 16.317, 16.505, 3840.600, 3856.560, 4000.500, 3968.500, 25.886, 29.638, 36.765, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:11:619, 0xCCCC , 56833 , 16.317, 16.505, 3840.600, 3856.560, 4000.500, 3968.500, 25.886, 29.638, 36.765, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:11:737, 0xCCCC , 2094 , 1.607, 1.437, 3976.680, 126.680, 126.680, 3968.180, 1.615, 1.607, 1.461, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:11:856, 0xCCCC , 2094 , 1.607, 1.437, 3976.680, 126.680, 126.680, 3968.180, 1.615, 1.607, 1.461, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:12:5, 0xCCCC , 2094 , 1.607, 1.437, 3976.680, 126.680, 126.680, 3968.180, 1.615, 1.607, 1.461, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:12:95, 0xCCCC , 2094 , 1.607, 1.437, 3976.680, 126.680, 126.680, 3968.180, 1.615, 1.607, 1.461, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:12:246, 0xCCCC , 2094 , 1.607, 1.437, 3976.680, 126.680, 126.680, 3968.180, 1.615, 1.607, 1.461, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
