11-29-2023, 10:32:01:252, sync, seq, adc
11-29-2023, 10:32:17:993, , , 
11-29-2023, 10:32:18:203, 0xBBBB, , 
11-29-2023, 10:32:18:293, 0xBBBB, , 
11-29-2023, 10:32:18:382, 0xBBBB, , 
11-29-2023, 10:32:18:472, 0xBBBB, , 
11-29-2023, 10:32:18:590, 0xBBBB, , 
11-29-2023, 10:32:18:680, 0xBBBB, , 
11-29-2023, 10:32:18:797, 0xBBBB, , 
11-29-2023, 10:32:18:885, 0xBBBB, , 
11-29-2023, 10:32:19:90, 0xBBBB, , 
11-29-2023, 10:32:19:90, 0xBBBB, , 
11-29-2023, 10:32:19:179, 0xBBBB, , 
11-29-2023, 10:32:19:267, 0xBBBB, , 
11-29-2023, 10:32:19:386, 0xBBBB, , 
11-29-2023, 10:32:19:474, 0xBBBB, , 
11-29-2023, 10:32:19:593, 0xBBBB, , 
11-29-2023, 10:32:19:684, 0xBBBB, , 
11-29-2023, 10:32:19:774, 0xBBBB, , 
11-29-2023, 10:32:19:894, 0xBBBB, , 
11-29-2023, 10:32:19:982, 0xBBBB, , 
11-29-2023, 10:32:20:72, 0xBBBB, , 
11-29-2023, 10:32:20:161, 0xBBBB, , 
11-29-2023, 10:32:20:279, 0xBBBB, , 
11-29-2023, 10:32:20:369, 0xBBBB, , 
11-29-2023, 10:32:20:487, 0xBBBB, , 
11-29-2023, 10:32:20:576, 0xBBBB, , 
11-29-2023, 10:32:20:665, 0xBBBB, , 
11-29-2023, 10:32:20:785, 0xBBBB, , 
11-29-2023, 10:32:20:962, 0xBBBB, , 
11-29-2023, 10:32:21:79, 0xBBBB, , 
11-29-2023, 10:32:21:79, 0xBBBB, 23809, 1.934
11-29-2023, 10:32:21:79, 0x6609, 43528, 0.821
11-29-2023, 10:32:21:79, 0x9407, 41736, 3.926
11-29-2023, 10:32:21:79, 0xA07, 64263, 3.614
11-29-2023, 10:32:21:168, 0x308, 34823, 3.614
11-29-2023, 10:32:21:286, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:21:376, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:21:465, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:21:554, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:21:674, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:21:763, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:21:882, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:21:971, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:22:60, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:22:178, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:22:265, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:22:354, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:22:474, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:22:562, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:22:680, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:22:770, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:22:858, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:22:946, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:23:65, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:23:152, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:23:271, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:23:359, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:23:478, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:23:566, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:23:746, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:23:865, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:23:954, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:24:73, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:24:162, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:24:251, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:24:372, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:24:461, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:24:550, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:24:667, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:24:756, 0xBBBB, 34823, 3.614
11-29-2023, 10:32:24:874, 0xBBBB, 40119, 3.614
11-29-2023, 10:32:24:963, 0xBBBB, 40119, 3.614
11-29-2023, 10:32:25:52, 0xBBBB, 40119, 3.614
11-29-2023, 10:32:25:141, 0xBBBB, 40119, 3.614
11-29-2023, 10:32:25:258, 0xBBBB, 40119, 3.614
11-29-2023, 10:32:25:348, 0xBBBB, 40119, 3.614
11-29-2023, 10:32:25:466, 0xBBBB, 40119, 3.614
11-29-2023, 10:32:25:555, 0xBBBB, 40119, 3.614
11-29-2023, 10:32:25:555, 0xBBBB, 2057, 0.026
11-29-2023, 10:32:25:555, 0x15E, 0356, 0.027
11-29-2023, 10:32:25:555, 0x9B8, 2115, 0.170
11-29-2023, 10:32:25:555, 0x7BC, 2021, 0.165
11-29-2023, 10:32:25:555, 0x816, 2009, 0.160
11-29-2023, 10:32:25:643, 0x8A8, 2017, 0.160
11-29-2023, 10:32:25:762, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:25:851, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:25:939, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:26:58, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:26:146, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:26:267, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:26:355, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:26:444, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:26:532, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:26:649, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:26:737, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:26:855, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:26:943, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:27:63, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:27:153, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:27:242, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:27:331, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:27:452, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:27:545, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:27:638, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:27:729, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:27:847, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:27:936, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:28:54, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:28:147, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:28:239, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:28:359, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:28:450, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:28:541, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:28:632, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:28:722, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:28:840, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:28:931, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:29:50, 0xBBBB, 2017, 0.160
11-29-2023, 10:32:29:50, 0xBBBB, 1922, 0.163
11-29-2023, 10:32:29:50, 0x7FF, 1992, 0.152
11-29-2023, 10:32:29:139, 0x879, 2147, 0.149
11-29-2023, 10:32:29:257, 0xBBBB, 2147, 0.149
11-29-2023, 10:32:29:347, 0xBBBB, 2147, 0.149
11-29-2023, 10:32:29:437, 0xBBBB, 2147, 0.149
11-29-2023, 10:32:29:527, 0xBBBB, 2147, 0.149
11-29-2023, 10:32:29:617, 0xBBBB, 2147, 0.149
11-29-2023, 10:32:29:736, 0xBBBB, 2147, 0.149
11-29-2023, 10:32:29:825, 0xBBBB, 2147, 0.149
11-29-2023, 10:32:29:945, 0xBBBB, 2147, 0.149
11-29-2023, 10:32:30:35, 0xBBBB, 2147, 0.149
11-29-2023, 10:32:30:35, 0xBBBB, 0460, 0.030
11-29-2023, 10:32:30:35, 0x7FD, 2055, 0.026
11-29-2023, 10:32:30:35, 0x15E, 0356, 0.027
11-29-2023, 10:32:30:35, 0x9B4, 2110, 0.169
11-29-2023, 10:32:30:35, 0x7BD, 2025, 0.166
11-29-2023, 10:32:30:35, 0x801, 2006, 0.159
11-29-2023, 10:32:31:131, 0x8A4, 2013, 0.159
11-29-2023, 10:32:31:219, 0xBBBB, 0257, 3.061
11-29-2023, 10:32:31:336, 0xBBBB, 0258, 3.063
11-29-2023, 10:32:31:425, 0xBBBB, 0259, 3.063
11-29-2023, 10:32:31:544, 0xBBBB, 0260, 3.061
11-29-2023, 10:32:31:633, 0xBBBB, 0261, 3.061
11-29-2023, 10:32:31:722, 0xBBBB, 0262, 3.061
11-29-2023, 10:32:31:811, 0xBBBB, 0263, 3.061
11-29-2023, 10:32:31:929, 0xBBBB, 0264, 3.061
11-29-2023, 10:32:32:19, 0xBBBB, 0265, 3.063
11-29-2023, 10:32:32:136, 0xBBBB, 0266, 3.061
11-29-2023, 10:32:32:225, 0xBBBB, 0267, 3.061
11-29-2023, 10:32:32:313, 0xBBBB, 0268, 3.061
11-29-2023, 10:32:32:430, 0xBBBB, 0269, 3.061
11-29-2023, 10:32:32:517, 0xBBBB, 0270, 3.061
11-29-2023, 10:32:32:635, 0xBBBB, 0271, 3.061
11-29-2023, 10:32:32:724, 0xBBBB, 0272, 3.061
11-29-2023, 10:32:32:843, 0xBBBB, 0273, 3.061
11-29-2023, 10:32:32:931, 0xBBBB, 0274, 3.061
11-29-2023, 10:32:33:21, 0xBBBB, 0275, 3.061
11-29-2023, 10:32:33:114, 0xBBBB, 0276, 3.061
11-29-2023, 10:32:33:206, 0xBBBB, 0277, 3.061
11-29-2023, 10:32:33:329, 0xBBBB, 0278, 3.061
11-29-2023, 10:32:33:423, 0xBBBB, 0279, 3.061
11-29-2023, 10:32:33:515, 0xBBBB, 0280, 3.061
11-29-2023, 10:32:33:606, 0xBBBB, 0281, 3.061
11-29-2023, 10:32:33:729, 0xBBBB, 0282, 3.061
11-29-2023, 10:32:33:822, 0xBBBB, 0283, 3.061
11-29-2023, 10:32:33:915, 0xBBBB, 0284, 3.061
11-29-2023, 10:32:34:6, 0xBBBB, 0285, 3.061
11-29-2023, 10:32:34:100, 0xBBBB, 0286, 3.061
11-29-2023, 10:32:34:223, 0xBBBB, 0286, 3.061
11-29-2023, 10:32:34:315, 0xBBBB, 0288, 3.061
11-29-2023, 10:32:34:407, 0xBBBB, 0289, 3.061
11-29-2023, 10:32:34:499, 0xBBBB, 0290, 3.061
11-29-2023, 10:32:34:620, 0xBBBB, 0291, 3.061
11-29-2023, 10:32:34:713, 0xBBBB, 0292, 3.061
11-29-2023, 10:32:34:805, 0xBBBB, 0293, 3.061
11-29-2023, 10:32:35:19, 0xBBBB, 0294, 3.061
11-29-2023, 10:32:35:113, 0xBBBB, 0296, 3.061
11-29-2023, 10:32:35:207, 0xBBBB, 0297, 3.063
11-29-2023, 10:32:35:299, 0xBBBB, 0298, 3.061
11-29-2023, 10:32:35:422, 0xBBBB, 0299, 3.061
11-29-2023, 10:32:35:513, 0xBBBB, 0300, 3.061
11-29-2023, 10:32:35:606, 0xBBBB, 0301, 3.063
11-29-2023, 10:32:35:697, 0xBBBB, 0302, 3.061
11-29-2023, 10:32:35:820, 0xBBBB, 0303, 3.061
11-29-2023, 10:32:35:911, 0xBBBB, 0304, 3.061
11-29-2023, 10:32:36:6, 0xBBBB, 0305, 3.061
11-29-2023, 10:32:36:97, 0xBBBB, 0306, 3.061
11-29-2023, 10:32:36:221, 0xBBBB, 0307, 3.061
11-29-2023, 10:32:36:314, 0xBBBB, 0308, 3.061
11-29-2023, 10:32:36:406, 0xBBBB, 0309, 3.061
11-29-2023, 10:32:36:498, 0xBBBB, 0310, 3.061
11-29-2023, 10:32:36:621, 0xBBBB, 0311, 3.061
11-29-2023, 10:32:36:714, 0xBBBB, 0312, 3.061
11-29-2023, 10:32:36:806, 0xBBBB, 0313, 3.061
11-29-2023, 10:32:36:901, 0xBBBB, 0314, 3.061
11-29-2023, 10:32:36:992, 0xBBBB, 0315, 3.061
11-29-2023, 10:32:37:116, 0xBBBB, 0316, 3.061
11-29-2023, 10:32:37:207, 0xBBBB, 0317, 3.061
11-29-2023, 10:32:37:298, 0xBBBB, 0318, 3.061
11-29-2023, 10:32:37:419, 0xBBBB, 0319, 3.061
11-29-2023, 10:32:37:510, 0xBBBB, 0320, 3.061
11-29-2023, 10:32:37:601, 0xBBBB, 0321, 3.061
11-29-2023, 10:32:37:817, 0xBBBB, 0322, 3.061
11-29-2023, 10:32:37:909, 0xBBBB, 0324, 3.061
11-29-2023, 10:32:38:1, 0xBBBB, 0325, 3.061
11-29-2023, 10:32:38:94, 0xBBBB, 0326, 3.061
11-29-2023, 10:32:38:218, 0xBBBB, 0327, 3.061
11-29-2023, 10:32:38:310, 0xBBBB, 0328, 3.063
