date, time, c_pmtOn, c_erpaOn, c_hkOn, c_sysOn, c_3v3, c_5v, c_n3v3, c_n5v, c_15v, c_n150v, c_800v, c_sdn1
05-31-2024, 13:41:24:191, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:41:24:667, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:41:25:153, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
05-31-2024, 13:41:25:631, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0
05-31-2024, 13:41:26:78, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0
05-31-2024, 13:41:26:559, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0
05-31-2024, 13:41:26:975, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0
05-31-2024, 13:41:27:363, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
05-31-2024, 13:41:27:703, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0
05-31-2024, 13:41:28:485, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0
05-31-2024, 13:41:28:854, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0
05-31-2024, 13:41:29:375, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0
05-31-2024, 13:41:29:778, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
05-31-2024, 13:41:30:208, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:41:30:825, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:41:31:183, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:41:32:309, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:41:33:266, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:41:34:423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
