03-15-2024, 13:02:03:706, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
03-15-2024, 13:02:05:336, , 1, , , , , , , , , , , 
03-15-2024, 13:02:06:628, , , 1, , , , , , , , , , 
03-15-2024, 13:02:07:819, 1, , , , , , , , , , , , 
03-15-2024, 13:07:40:206, , 0, , , , , , , , , , , 
03-15-2024, 13:07:40:351, , 1, , , , , , , , , , , 
03-15-2024, 13:07:41:283, 0, , , , , , , , , , , , 
03-15-2024, 13:07:41:438, 1, , , , , , , , , , , , 
03-15-2024, 13:07:42:840, , , 0, , , , , , , , , , 
03-15-2024, 13:07:43:67, , , 1, , , , , , , , , , 
03-15-2024, 13:08:47:130, 0, , , , , , , , , , , , 
03-15-2024, 13:08:47:287, 1, , , , , , , , , , , , 
03-15-2024, 13:08:48:205, , 0, , , , , , , , , , , 
03-15-2024, 13:08:48:364, , 1, , , , , , , , , , , 
03-15-2024, 13:08:49:668, , , 0, , , , , , , , , , 
03-15-2024, 13:08:49:834, , , 1, , , , , , , , , , 
03-15-2024, 13:21:48:314, 0, , , , , , , , , , , , 
03-15-2024, 13:21:48:483, 1, , , , , , , , , , , , 
03-15-2024, 13:21:49:901, , 0, , , , , , , , , , , 
03-15-2024, 13:21:50:53, , 1, , , , , , , , , , , 
03-15-2024, 13:21:50:681, , 0, , , , , , , , , , , 
03-15-2024, 13:21:50:850, , 1, , , , , , , , , , , 
03-15-2024, 13:23:21:564, , , 0, , , , , , , , , , 
03-15-2024, 13:23:21:938, , , 1, , , , , , , , , , 
