uptime, sync, seq, step, SWPMON, adc
22193209, 0xAAAA, 7101, 0001, 0.80586, 4.8340581
22196327, 0xAAAA, 7102, 0000, 0.40454, 4.8544289
22199452, 0xAAAA, 7103, 0000, 0.40454, 4.8416114
22202599, 0xAAAA, 7104, 0000, 0.01692, 4.8399329
22205702, 0xAAAA, 7105, 0000, 0.01853, 4.8495460
22208838, 0xAAAA, 7106, 0001, 0.01853, 4.8409247
22211963, 0xAAAA, 7107, 0001, 0.01853, 4.8607614
22215094, 0xAAAA, 7108, 0002, 0.40535, 4.8223850
22218220, 0xAAAA, 7109, 0002, 0.40132, 4.8607614
22221338, 0xAAAA, 7110, 0003, 0.80586, 4.8375677
22224474, 0xAAAA, 7111, 0003, 0.80103, 4.8661784
22227588, 0xAAAA, 7112, 0004, 1.20315, 4.8392462
22230702, 0xAAAA, 7113, 0004, 1.60366, 4.8455787
22233827, 0xAAAA, 7114, 0005, 1.60447, 4.8397040
22236952, 0xAAAA, 7115, 0005, 1.60447, 4.8532845
22240082, 0xAAAA, 7116, 0006, 2.00256, 4.8501564
22243209, 0xAAAA, 7117, 0006, 2.00015, 4.8464942
22246327, 0xAAAA, 7118, 0007, 2.39663, 4.8551156
22249453, 0xAAAA, 7119, 0007, 2.39905, 4.8413825
22252583, 0xAAAA, 7120, 0007, 2.58842, 4.8548867
22255710, 0xAAAA, 7121, 0007, 2.58842, 4.8390936
22258836, 0xAAAA, 7122, 0006, 2.58923, 4.8471809
22261967, 0xAAAA, 7123, 0006, 2.58923, 4.8487831
22265092, 0xAAAA, 7124, 0005, 2.40147, 4.8483253
22268218, 0xAAAA, 7125, 0005, 2.40227, 4.8520638
22271336, 0xAAAA, 7126, 0004, 2.00176, 4.8348211
22274452, 0xAAAA, 7127, 0004, 2.00256, 4.8556497
22277577, 0xAAAA, 7128, 0003, 1.60366, 4.8361944
22280702, 0xAAAA, 7129, 0003, 1.19751, 4.8641184
22283827, 0xAAAA, 7130, 0002, 1.20396, 4.8413062
22286952, 0xAAAA, 7131, 0002, 1.20396, 4.8567178
22290082, 0xAAAA, 7132, 0001, 0.80425, 4.8369574
22293209, 0xAAAA, 7133, 0001, 0.80747, 4.8490883
22296333, 0xAAAA, 7134, 0000, 0.40535, 4.8396277
22299463, 0xAAAA, 7135, 0000, 0.41421, 4.8445869
22302611, 0xAAAA, 7136, 0000, 0.01692, 4.8535134
22305714, 0xAAAA, 7137, 0000, 0.01853, 4.8522927
22308847, 0xAAAA, 7138, 0001, 0.01773, 4.8595407
22311964, 0xAAAA, 7139, 0001, 0.01853, 4.8274205
22315093, 0xAAAA, 7140, 0002, 0.40777, 4.8585489
22318220, 0xAAAA, 7141, 0002, 0.40454, 4.8363470
22321335, 0xAAAA, 7142, 0003, 0.81231, 4.8561074
22324452, 0xAAAA, 7143, 0003, 1.20476, 4.8386358
22327577, 0xAAAA, 7144, 0004, 1.20396, 4.8410773
22330702, 0xAAAA, 7145, 0004, 1.20396, 4.8426032
22333827, 0xAAAA, 7146, 0005, 1.60527, 4.8283360
22336952, 0xAAAA, 7147, 0005, 1.60366, 4.8472572
22340083, 0xAAAA, 7148, 0006, 2.00176, 4.8368048
22343217, 0xAAAA, 7149, 0006, 2.00337, 4.8571756
22346336, 0xAAAA, 7150, 0007, 2.39985, 4.8368048
22349461, 0xAAAA, 7151, 0007, 2.58923, 4.8526741
22352587, 0xAAAA, 7152, 0007, 2.58923, 4.8283360
22355711, 0xAAAA, 7153, 0007, 2.58923, 4.8601511
22358835, 0xAAAA, 7154, 0006, 2.59084, 4.8376440
22361952, 0xAAAA, 7155, 0006, 2.58681, 4.8591592
22365082, 0xAAAA, 7156, 0005, 2.40469, 4.8503853
22368219, 0xAAAA, 7157, 0005, 2.40549, 4.8317693
22371327, 0xAAAA, 7158, 0004, 2.00418, 4.8566415
22374452, 0xAAAA, 7159, 0004, 1.60125, 4.8224613
22377577, 0xAAAA, 7160, 0003, 1.60286, 4.8621347
22380702, 0xAAAA, 7161, 0003, 1.60366, 4.8483253
22383827, 0xAAAA, 7162, 0002, 1.20396, 4.8520638
22386963, 0xAAAA, 7163, 0002, 1.20718, 4.8339818
22390094, 0xAAAA, 7164, 0001, 0.80344, 4.8707561
22393227, 0xAAAA, 7165, 0001, 0.80425, 4.8477150
22396339, 0xAAAA, 7166, 0000, 0.40132, 4.8447395
22399463, 0xAAAA, 7167, 0000, 0.01451, 4.8542763
22402610, 0xAAAA, 7168, 0000, 0.01773, 4.8529793
22405721, 0xAAAA, 7169, 0000, 0.01853, 4.8588540
22408827, 0xAAAA, 7170, 0001, 0.01853, 4.8280308
22411952, 0xAAAA, 7171, 0001, 0.02015, 4.8639658
22415083, 0xAAAA, 7172, 0002, 0.40374, 4.8335241
22418209, 0xAAAA, 7173, 0002, 0.40454, 4.8558785
22421327, 0xAAAA, 7174, 0003, 0.80425, 4.8416114
22424452, 0xAAAA, 7175, 0003, 1.20960, 4.8440528
