sync, uptime, seq, step, SWPMON, adc
0xEEEE, 002296, 0000, 0000, 0.01128, 0.0000000
0xEEEE, 005413, 0001, 0000, 0.01209, 4.6264591
0xEEEE, 008539, 0002, 0001, 0.01209, 2.5777066
0xEEEE, 011663, 0003, 0001, 0.01209, 2.8542000
0xEEEE, 014787, 0004, 0002, 0.38440, 3.0710307
0xEEEE, 017921, 0005, 0002, 0.36505, 3.2733654
0xEEEE, 021076, 0006, 0003, 0.78652, 3.4491493
0xEEEE, 024162, 0007, 0003, 0.78652, 3.5939574
0xEEEE, 027291, 0008, 0004, 1.18784, 3.7452506
0xEEEE, 030412, 0009, 0004, 1.57626, 3.8590066
0xEEEE, 033536, 0010, 0005, 1.57707, 3.9610895
0xEEEE, 036660, 0011, 0005, 1.59077, 4.0718700
0xEEEE, 039785, 0012, 0006, 1.97033, 4.1606775
0xEEEE, 042909, 0013, 0006, 1.92037, 4.2240024
0xEEEE, 046035, 0014, 0007, 2.35150, 4.2908370
0xEEEE, 049152, 0015, 0007, 2.36359, 4.3611048
0xEEEE, 052277, 0016, 0007, 2.54813, 4.4042115
0xEEEE, 055401, 0017, 0007, 2.54733, 4.4598306
0xEEEE, 058526, 0018, 0006, 2.54813, 4.5035477
0xEEEE, 061651, 0019, 0006, 2.54894, 4.5371176
0xEEEE, 064786, 0020, 0005, 2.35875, 4.5645075
0xEEEE, 067920, 0021, 0005, 2.36037, 4.6000610
0xEEEE, 071045, 0022, 0004, 1.97033, 4.6319524
0xEEEE, 074171, 0023, 0004, 1.96469, 4.6456092
0xEEEE, 077289, 0024, 0003, 1.57707, 4.6588083
0xEEEE, 080413, 0025, 0003, 1.15399, 4.6908522
0xEEEE, 083538, 0026, 0002, 1.18059, 4.7051194
0xEEEE, 086678, 0027, 0002, 1.18059, 4.7085527
0xEEEE, 089786, 0028, 0001, 0.78088, 4.7370871
0xEEEE, 092918, 0029, 0001, 0.81875, 4.7454032
0xEEEE, 096044, 0030, 0000, 0.39165, 4.7369345
0xEEEE, 099161, 0031, 0000, 0.39165, 4.7612726
0xEEEE, 102286, 0032, 0000, 0.01209, 4.7781338
0xEEEE, 105410, 0033, 0000, 0.01289, 4.7685206
0xEEEE, 108527, 0034, 0001, 0.01128, 4.7783627
0xEEEE, 111652, 0035, 0001, 0.01128, 4.7882048
0xEEEE, 114777, 0036, 0002, 0.38440, 4.7987335
0xEEEE, 117909, 0037, 0002, 0.37553, 4.7972076
0xEEEE, 121055, 0038, 0003, 0.78733, 4.7980468
0xEEEE, 124153, 0039, 0003, 0.78733, 4.8116274
0xEEEE, 127278, 0040, 0004, 1.17897, 4.8078126
0xEEEE, 130407, 0041, 0004, 1.58352, 4.8069734
0xEEEE, 133549, 0042, 0005, 1.57546, 4.8201724
0xEEEE, 136663, 0043, 0005, 1.54967, 4.8244450
0xEEEE, 139788, 0044, 0006, 1.96872, 4.8169680
0xEEEE, 142920, 0045, 0006, 1.97919, 4.8136873
0xEEEE, 146047, 0046, 0007, 2.35795, 4.8271916
0xEEEE, 149163, 0047, 0007, 2.36440, 4.8229953
0xEEEE, 152279, 0048, 0007, 2.54813, 4.8200198
0xEEEE, 155411, 0049, 0007, 2.56344, 4.8313878
0xEEEE, 158536, 0050, 0006, 2.54813, 4.8332189
0xEEEE, 161661, 0051, 0006, 2.54813, 4.8260472
0xEEEE, 164787, 0052, 0005, 2.36601, 4.8301671
0xEEEE, 167919, 0053, 0005, 2.36520, 4.8355077
0xEEEE, 171051, 0054, 0004, 1.97114, 4.8357366
0xEEEE, 174152, 0055, 0004, 1.61011, 4.8288701
0xEEEE, 177276, 0056, 0003, 1.57626, 4.8323033
0xEEEE, 180401, 0057, 0003, 1.56176, 4.8380255
0xEEEE, 183526, 0058, 0002, 1.18220, 4.8327611
0xEEEE, 186651, 0059, 0002, 1.18220, 4.8323796
0xEEEE, 189778, 0060, 0001, 0.79458, 4.8471046
0xEEEE, 192909, 0061, 0001, 0.76234, 4.8439765
0xEEEE, 196037, 0062, 0000, 0.39245, 4.8329900
0xEEEE, 199163, 0063, 0000, 0.01128, 4.8361944
0xEEEE, 202288, 0064, 0000, 0.01209, 4.8512245
