11-29-2023, 10:44:12:909, sync, seq, endMon, SWPMON, temp1, temp2, adc
11-29-2023, 10:44:27:217, , , , , , , 
11-29-2023, 10:44:27:334, 0xAAAA, 0384, 02.403, 0.5, 01.172, 01.499, 2.495
11-29-2023, 10:44:27:452, 0xAAAA, 0385, 02.400, 0.5, 01.341, 01.692, 2.495
11-29-2023, 10:44:27:600, 0xAAAA, 0386, 02.400, 0.5, 01.341, 01.692, 2.495
11-29-2023, 10:44:27:835, 0xAAAA, 0387, 02.399, 0.4, 01.172, 01.524, 2.495
11-29-2023, 10:44:27:982, 0xAAAA, 0389, 02.401, 0.5, 01.175, 01.508, 2.495
11-29-2023, 10:44:28:70, 0xAAAA, 0390, 02.399, 0.5, 01.168, 01.504, 2.495
11-29-2023, 10:44:28:218, 0xAAAA, 0391, 02.401, 0.5, 01.172, 01.503, 2.495
11-29-2023, 10:44:28:336, 0xAAAA, 0392, 02.403, 0.5, 01.171, 01.498, 2.495
11-29-2023, 10:44:28:453, 0xAAAA, 0393, 02.399, 0.5, 01.179, 01.505, 2.495
11-29-2023, 10:44:28:571, 0xAAAA, 0394, 02.401, 0.5, 01.175, 01.500, 2.495
11-29-2023, 10:44:28:718, 0xAAAA, 0395, 02.401, 0.5, 01.175, 01.500, 2.495
11-29-2023, 10:44:28:834, 0xAAAA, 0396, 02.401, 0.5, 01.173, 01.500, 2.495
11-29-2023, 10:44:28:950, 0xAAAA, 0397, 02.401, 0.5, 01.175, 01.506, 2.495
11-29-2023, 10:44:29:96, 0xAAAA, 0398, 02.399, 0.5, 01.183, 01.505, 2.495
11-29-2023, 10:44:29:213, 0xAAAA, 0399, 02.402, 0.5, 01.177, 01.502, 2.495
11-29-2023, 10:44:29:331, 0xAAAA, 0400, 02.399, 0.5, 01.171, 01.501, 2.495
11-29-2023, 10:44:29:448, 0xAAAA, 0401, 02.399, 0.5, 01.176, 01.501, 2.495
11-29-2023, 10:44:29:594, 0xAAAA, 0402, 02.401, 0.5, 01.174, 01.500, 2.495
11-29-2023, 10:44:29:712, 0xAAAA, 0403, 02.399, 0.5, 01.168, 01.496, 2.495
11-29-2023, 10:44:29:829, 0xAAAA, 0404, 02.401, 0.5, 01.171, 01.504, 2.495
11-29-2023, 10:44:29:946, 0xAAAA, 0405, 02.401, 0.5, 01.180, 01.505, 2.495
11-29-2023, 10:44:30:92, 0xAAAA, 0406, 02.401, 0.5, 01.171, 01.503, 2.495
11-29-2023, 10:44:30:209, 0xAAAA, 0407, 02.399, 0.5, 01.172, 01.496, 2.495
11-29-2023, 10:44:30:325, 0xAAAA, 0408, 02.401, 0.5, 01.171, 01.501, 2.495
11-29-2023, 10:44:30:441, 0xAAAA, 0409, 02.399, 0.9, 01.303, 01.552, 2.495
11-29-2023, 10:44:30:587, 0xAAAA, 0410, 02.401, 0.9, 01.336, 01.568, 2.495
11-29-2023, 10:44:30:703, 0xAAAA, 0411, 02.400, 0.9, 01.349, 01.579, 2.495
11-29-2023, 10:44:30:819, 0xAAAA, 0412, 02.403, 0.9, 01.353, 01.585, 2.495
11-29-2023, 10:44:30:935, 0xAAAA, 0413, 02.401, 0.9, 01.353, 01.585, 2.495
11-29-2023, 10:44:31:79, 0xAAAA, 0414, 02.399, 0.9, 01.356, 01.586, 2.495
11-29-2023, 10:44:31:195, 0xAAAA, 0415, 02.399, 0.9, 01.355, 01.589, 2.495
11-29-2023, 10:44:31:341, 0xAAAA, 0416, 02.401, 0.9, 01.354, 01.588, 2.495
11-29-2023, 10:44:31:429, 0xAAAA, 0417, 02.401, 0.9, 01.361, 01.587, 2.495
11-29-2023, 10:44:31:575, 0xAAAA, 0418, 02.402, 0.9, 01.357, 01.588, 2.495
11-29-2023, 10:44:31:690, 0xAAAA, 0419, 02.399, 0.9, 01.358, 01.588, 2.495
11-29-2023, 10:44:31:835, 0xAAAA, 0420, 02.401, 0.9, 01.355, 01.586, 2.495
11-29-2023, 10:44:31:951, 0xAAAA, 0421, 02.398, 0.9, 01.364, 01.593, 2.495
11-29-2023, 10:44:32:67, 0xAAAA, 0422, 02.401, 0.9, 01.355, 01.589, 2.495
11-29-2023, 10:44:32:184, 0xAAAA, 0423, 02.399, 0.9, 01.353, 01.585, 2.495
11-29-2023, 10:44:32:331, 0xAAAA, 0424, 02.401, 0.9, 01.356, 01.585, 2.495
11-29-2023, 10:44:32:448, 0xAAAA, 0425, 02.398, 0.9, 01.360, 01.593, 2.495
11-29-2023, 10:44:32:565, 0xAAAA, 0426, 02.400, 0.9, 01.355, 01.589, 2.495
