uptime, sync, seq, SWPMON, temp1, adc
6734587, 0xAAAA, 0000, 0.00000, 0.48916, 0.0000000
6737700, 0xAAAA, 0001, 0.00000, 0.49560, 0.0000000
6740841, 0xAAAA, 0002, 0.00000, 0.50286, 0.0000000
6743954, 0xAAAA, 0003, 0.00000, 0.49722, 0.0000000
6747100, 0xAAAA, 0004, 0.00000, 0.49319, 0.0000000
6750237, 0xAAAA, 0005, 0.00000, 0.49158, 0.0000000
6753329, 0xAAAA, 0006, 0.00000, 0.49883, 0.0000000
6756454, 0xAAAA, 0007, 0.00000, 0.50286, 0.0000000
6759591, 0xAAAA, 0008, 0.00000, 0.48835, 0.0000000
6762704, 0xAAAA, 0009, 0.00000, 0.49641, 0.0000000
6765829, 0xAAAA, 0010, 0.00000, 0.50286, 0.0000000
6768966, 0xAAAA, 0011, 0.00000, 0.50205, 0.0000000
6772088, 0xAAAA, 0012, 0.00000, 0.49802, 0.0000000
6775214, 0xAAAA, 0013, 0.00000, 0.49238, 0.0000000
6778335, 0xAAAA, 0014, 0.00000, 0.50044, 0.0000000
6781467, 0xAAAA, 0015, 0.00000, 0.50366, 0.0000000
6784576, 0xAAAA, 0016, 0.00000, 0.50608, 0.0000000
6787701, 0xAAAA, 0017, 0.00000, 0.48916, 0.0000000
6790826, 0xAAAA, 0018, 0.00000, 0.49722, 0.0000000
6793966, 0xAAAA, 0019, 0.00000, 0.50205, 0.0000000
6797084, 0xAAAA, 0020, 0.00000, 0.49399, 0.0000000
6800212, 0xAAAA, 0021, 0.00000, 0.49238, 0.0000000
6803327, 0xAAAA, 0022, 0.00000, 0.49077, 0.0000000
6806451, 0xAAAA, 0023, 0.00000, 0.49802, 0.0000000
6809575, 0xAAAA, 0024, 0.00000, 0.50286, 0.0000000
6812729, 0xAAAA, 0025, 0.00000, 0.48835, 0.0000000
6815842, 0xAAAA, 0026, 0.00000, 0.49560, 0.0000000
6818954, 0xAAAA, 0027, 0.00000, 0.50286, 0.0000000
6822099, 0xAAAA, 0028, 0.00000, 0.50125, 0.0000000
6825214, 0xAAAA, 0029, 0.00000, 0.49802, 0.0000000
6828330, 0xAAAA, 0030, 0.00000, 0.49399, 0.0000000
6831469, 0xAAAA, 0031, 0.00000, 0.50125, 0.0000000
6834580, 0xAAAA, 0032, 0.00000, 0.49802, 0.0000000
6837704, 0xAAAA, 0033, 0.00000, 0.49319, 0.0000000
6840840, 0xAAAA, 0034, 0.00000, 0.49158, 0.0000000
6843954, 0xAAAA, 0035, 0.00000, 0.49963, 0.0000000
6847100, 0xAAAA, 0036, 0.00000, 0.50286, 0.0000000
6850226, 0xAAAA, 0037, 0.00000, 0.48916, 0.0000000
6853326, 0xAAAA, 0038, 0.00000, 0.49641, 0.0000000
6856451, 0xAAAA, 0039, 0.00000, 0.49722, 0.0000000
6859585, 0xAAAA, 0040, 0.00000, 0.50125, 0.0000000
6862701, 0xAAAA, 0041, 0.00000, 0.49963, 0.0000000
6865825, 0xAAAA, 0042, 0.00000, 0.49158, 0.0000000
6868951, 0xAAAA, 0043, 0.00000, 0.49963, 0.0000000
6872084, 0xAAAA, 0044, 0.00000, 0.50366, 0.0000000
