uptime, sync, seq, step, SWPMON, temp1, adc
18795916, 0xAAAA, 0000, 0000, 0.01128, 1.91875, 0.0000000
18799049, 0xAAAA, 0001, 0000, 0.01209, 1.91875, 0.0000000
18802234, 0xAAAA, 0002, 0001, 0.01209, 1.91875, 0.0000000
18805292, 0xAAAA, 0003, 0001, 0.39084, 1.91875, 0.0000000
18808417, 0xAAAA, 0004, 0002, 0.39084, 1.91795, 0.0000000
18811554, 0xAAAA, 0005, 0002, 0.39729, 1.91714, 0.0000000
18814651, 0xAAAA, 0006, 0003, 0.78733, 1.91714, 0.0000000
18817776, 0xAAAA, 0007, 0003, 0.78571, 1.91714, 0.0000000
18820915, 0xAAAA, 0008, 0004, 1.18059, 1.91714, 0.0000000
18824046, 0xAAAA, 0009, 0004, 1.57465, 1.91714, 0.0000000
18827214, 0xAAAA, 0010, 0005, 1.57465, 1.91956, 0.0000000
18830298, 0xAAAA, 0011, 0005, 1.57465, 1.91553, 0.0000000
18833401, 0xAAAA, 0012, 0006, 1.96872, 1.91634, 0.0000000
18836526, 0xAAAA, 0013, 0006, 1.96791, 1.91634, 0.0000000
18839660, 0xAAAA, 0014, 0007, 2.36117, 1.91553, 0.0000000
18842792, 0xAAAA, 0015, 0007, 2.54571, 1.91553, 0.0000000
18845904, 0xAAAA, 0016, 0007, 2.57714, 1.91392, 0.0000000
18849093, 0xAAAA, 0017, 0007, 2.54652, 1.91634, 0.0000000
18852229, 0xAAAA, 0018, 0006, 2.54571, 1.91553, 0.0000000
18855304, 0xAAAA, 0019, 0006, 2.54733, 1.91553, 0.0000000
18858405, 0xAAAA, 0020, 0005, 2.38212, 1.91634, 0.0000000
18861530, 0xAAAA, 0021, 0005, 1.96872, 1.91714, 0.0000000
18864655, 0xAAAA, 0022, 0004, 1.96791, 1.91634, 0.0000000
18867780, 0xAAAA, 0023, 0004, 1.96872, 1.91875, 0.0000000
18870905, 0xAAAA, 0024, 0003, 1.57385, 1.91714, 0.0000000
18874080, 0xAAAA, 0025, 0003, 1.57385, 1.91714, 0.0000000
18877230, 0xAAAA, 0026, 0002, 1.17978, 1.91714, 0.0000000
18880285, 0xAAAA, 0027, 0002, 0.83568, 1.91714, 0.0000000
18883412, 0xAAAA, 0028, 0001, 0.77201, 1.91795, 0.0000000
18886526, 0xAAAA, 0029, 0001, 0.78571, 1.91875, 0.0000000
18889652, 0xAAAA, 0030, 0000, 0.39004, 1.91795, 0.0000000
18892791, 0xAAAA, 0031, 0000, 0.39084, 1.91795, 0.0000000
18895902, 0xAAAA, 0032, 0000, 0.01048, 1.91875, 0.0000000
18899045, 0xAAAA, 0033, 0000, 0.01128, 1.91875, 0.0000000
18902228, 0xAAAA, 0034, 0001, 0.01128, 1.91795, 0.0000000
18905294, 0xAAAA, 0035, 0001, 0.01370, 1.91714, 0.0000000
18908417, 0xAAAA, 0036, 0002, 0.38117, 1.91795, 0.0000000
18911529, 0xAAAA, 0037, 0002, 0.78571, 1.91795, 0.0000000
18914654, 0xAAAA, 0038, 0003, 0.78733, 1.91795, 0.0000000
18917779, 0xAAAA, 0039, 0003, 1.17897, 1.91875, 0.0000000
18920915, 0xAAAA, 0040, 0004, 1.18059, 1.91795, 0.0000000
18924049, 0xAAAA, 0041, 0004, 1.21363, 1.91553, 0.0000000
18927246, 0xAAAA, 0042, 0005, 1.54725, 1.91634, 0.0000000
18930289, 0xAAAA, 0043, 0005, 1.94857, 1.91634, 0.0000000
18933404, 0xAAAA, 0044, 0006, 1.96872, 1.91634, 0.0000000
18936529, 0xAAAA, 0045, 0006, 1.96791, 1.91795, 0.0000000
18939662, 0xAAAA, 0046, 0007, 2.36278, 1.91553, 0.0000000
18942791, 0xAAAA, 0047, 0007, 2.36037, 1.90908, 0.0000000
18945933, 0xAAAA, 0048, 0007, 2.54571, 1.91553, 0.0000000
18949093, 0xAAAA, 0049, 0007, 2.47560, 1.91553, 0.0000000
18952230, 0xAAAA, 0050, 0006, 2.54652, 1.91553, 0.0000000
18955298, 0xAAAA, 0051, 0006, 2.54652, 1.91634, 0.0000000
18958401, 0xAAAA, 0052, 0005, 2.36037, 1.91553, 0.0000000
18961527, 0xAAAA, 0053, 0005, 2.35070, 1.91553, 0.0000000
18964668, 0xAAAA, 0054, 0004, 1.95985, 1.91634, 0.0000000
18967776, 0xAAAA, 0055, 0004, 1.57385, 1.91714, 0.0000000
18970903, 0xAAAA, 0056, 0003, 1.57465, 1.91714, 0.0000000
18974077, 0xAAAA, 0057, 0003, 1.58352, 1.91875, 0.0000000
18977230, 0xAAAA, 0058, 0002, 1.20879, 1.91714, 0.0000000
18980289, 0xAAAA, 0059, 0002, 1.16447, 1.91714, 0.0000000
18983409, 0xAAAA, 0060, 0001, 0.78571, 1.91795, 0.0000000
18986529, 0xAAAA, 0061, 0001, 0.39084, 1.91714, 0.0000000
18989655, 0xAAAA, 0062, 0000, 0.39084, 1.91714, 0.0000000
18992791, 0xAAAA, 0063, 0000, 0.38923, 1.91956, 0.0000000
18995905, 0xAAAA, 0064, 0000, 0.01128, 1.91875, 0.0000000
18999048, 0xAAAA, 0065, 0000, 0.01209, 1.91795, 0.0000000
19002219, 0xAAAA, 0066, 0001, 0.01128, 1.91795, 0.0000000
19005294, 0xAAAA, 0067, 0001, 0.39890, 1.91795, 0.0000000
19008417, 0xAAAA, 0068, 0002, 0.39084, 1.91473, 0.0000000
19011526, 0xAAAA, 0069, 0002, 0.39165, 1.91634, 0.0000000
19014651, 0xAAAA, 0070, 0003, 0.78571, 1.91714, 0.0000000
19017791, 0xAAAA, 0071, 0003, 0.79780, 1.91875, 0.0000000
19020901, 0xAAAA, 0072, 0004, 1.17011, 1.91634, 0.0000000
19024046, 0xAAAA, 0073, 0004, 1.57546, 1.91714, 0.0000000
19027244, 0xAAAA, 0074, 0005, 1.56982, 1.91634, 0.0000000
19030286, 0xAAAA, 0075, 0005, 1.57385, 1.91553, 0.0000000
19033401, 0xAAAA, 0076, 0006, 1.97839, 1.91634, 0.0000000
19036542, 0xAAAA, 0077, 0006, 1.96711, 1.91634, 0.0000000
19039663, 0xAAAA, 0078, 0007, 2.36037, 1.91553, 0.0000000
19042792, 0xAAAA, 0079, 0007, 2.54571, 1.91553, 0.0000000
19045930, 0xAAAA, 0080, 0007, 2.54652, 1.91553, 0.0000000
19049093, 0xAAAA, 0081, 0007, 2.54491, 1.91553, 0.0000000
19052229, 0xAAAA, 0082, 0006, 2.56908, 1.91634, 0.0000000
19055302, 0xAAAA, 0083, 0006, 2.36117, 1.91553, 0.0000000
19058404, 0xAAAA, 0084, 0005, 2.36198, 1.91714, 0.0000000
19061531, 0xAAAA, 0085, 0005, 1.96711, 1.91634, 0.0000000
19064668, 0xAAAA, 0086, 0004, 1.97033, 1.91634, 0.0000000
19067779, 0xAAAA, 0087, 0004, 1.96711, 1.91714, 0.0000000
19070905, 0xAAAA, 0088, 0003, 1.56821, 1.91634, 0.0000000
19074061, 0xAAAA, 0089, 0003, 1.18623, 1.91634, 0.0000000
19077230, 0xAAAA, 0090, 0002, 1.17736, 1.91714, 0.0000000
19080285, 0xAAAA, 0091, 0002, 0.78733, 1.92117, 0.0000000
19083403, 0xAAAA, 0092, 0001, 0.78571, 1.91795, 0.0000000
19086527, 0xAAAA, 0093, 0001, 0.78652, 1.91875, 0.0000000
19089652, 0xAAAA, 0094, 0000, 0.42791, 1.91795, 0.0000000
19092776, 0xAAAA, 0095, 0000, 0.01128, 1.91875, 0.0000000
19095901, 0xAAAA, 0096, 0000, 0.01128, 1.91795, 0.0000000
19099045, 0xAAAA, 0097, 0000, 0.01128, 1.91795, 0.0000000
19102218, 0xAAAA, 0098, 0001, 0.01128, 1.91795, 0.0000000
19105296, 0xAAAA, 0099, 0001, 0.01128, 1.91795, 0.0000000
19108433, 0xAAAA, 0100, 0002, 0.39084, 1.91714, 0.0000000
19111529, 0xAAAA, 0101, 0002, 0.71883, 1.91795, 0.0000000
19114654, 0xAAAA, 0102, 0003, 0.78974, 1.91714, 0.0000000
19117791, 0xAAAA, 0103, 0003, 0.78330, 1.91553, 0.0000000
19120905, 0xAAAA, 0104, 0004, 1.18059, 1.91634, 0.0000000
19124049, 0xAAAA, 0105, 0004, 1.18059, 1.91634, 0.0000000
19127243, 0xAAAA, 0106, 0005, 1.57465, 1.91634, 0.0000000
19130290, 0xAAAA, 0107, 0005, 1.96872, 1.91634, 0.0000000
19133405, 0xAAAA, 0108, 0006, 1.96872, 1.91553, 0.0000000
19136542, 0xAAAA, 0109, 0006, 1.97033, 1.91473, 0.0000000
19139664, 0xAAAA, 0110, 0007, 2.35553, 1.91553, 0.0000000
19142775, 0xAAAA, 0111, 0007, 2.39905, 1.91634, 0.0000000
19145901, 0xAAAA, 0112, 0007, 2.54652, 1.91553, 0.0000000
19149093, 0xAAAA, 0113, 0007, 2.54733, 1.91553, 0.0000000
19152230, 0xAAAA, 0114, 0006, 2.54733, 1.91553, 0.0000000
19155295, 0xAAAA, 0115, 0006, 2.51912, 1.91634, 0.0000000
19158401, 0xAAAA, 0116, 0005, 2.36198, 1.91634, 0.0000000
19161526, 0xAAAA, 0117, 0005, 2.36117, 1.91553, 0.0000000
19164651, 0xAAAA, 0118, 0004, 1.96952, 1.91634, 0.0000000
19167776, 0xAAAA, 0119, 0004, 1.57546, 1.91634, 0.0000000
19170905, 0xAAAA, 0120, 0003, 1.57546, 1.91956, 0.0000000
19174061, 0xAAAA, 0121, 0003, 1.57465, 1.91795, 0.0000000
19177230, 0xAAAA, 0122, 0002, 1.17897, 1.91634, 0.0000000
19180318, 0xAAAA, 0123, 0002, 1.17897, 1.91634, 0.0000000
19183404, 0xAAAA, 0124, 0001, 0.78491, 1.91714, 0.0000000
19186530, 0xAAAA, 0125, 0001, 0.41663, 1.91795, 0.0000000
19189655, 0xAAAA, 0126, 0000, 0.38923, 1.91795, 0.0000000
19192780, 0xAAAA, 0127, 0000, 0.39165, 1.91875, 0.0000000
19195905, 0xAAAA, 0128, 0000, 0.01370, 1.91795, 0.0000000
