uptime, sync, seq, step, SWPMON, adc
13927477, 0xAAAA, 0000, 0000, 0.00484, 4.9805447
13930789, 0xAAAA, 0001, 0000, 0.00484, 4.9805447
13933913, 0xAAAA, 0002, 0000, 0.00484, 4.9805447
13937086, 0xAAAA, 0003, 0001, 0.00484, 4.9805447
13940226, 0xAAAA, 0004, 0001, 0.00403, 4.9805447
13943293, 0xAAAA, 0005, 0002, 0.00967, 4.9805447
13946426, 0xAAAA, 0006, 0002, 0.00967, 4.9805447
13949533, 0xAAAA, 0007, 0003, 0.00967, 4.9805447
13952668, 0xAAAA, 0008, 0003, 0.01048, 4.9805447
13955790, 0xAAAA, 0009, 0004, 0.01128, 4.9805447
13958910, 0xAAAA, 0010, 0004, 0.01128, 4.9805447
13962082, 0xAAAA, 0011, 0005, 0.01289, 4.9805447
13965218, 0xAAAA, 0012, 0005, 0.01370, 4.9805447
13968286, 0xAAAA, 0013, 0006, 0.01451, 4.9805447
13971410, 0xAAAA, 0014, 0006, 0.01531, 4.9805447
13974536, 0xAAAA, 0015, 0007, 0.01692, 4.9805447
13977669, 0xAAAA, 0016, 0007, 0.01773, 4.9805447
13980816, 0xAAAA, 0017, 0007, 0.02418, 4.9805447
13983912, 0xAAAA, 0018, 0007, 0.08784, 4.9805447
13987086, 0xAAAA, 0019, 0006, 0.02337, 4.9805447
13990471, 0xAAAA, 0020, 0006, 0.02095, 4.9805447
13993289, 0xAAAA, 0021, 0005, 0.02176, 4.9805447
13996414, 0xAAAA, 0022, 0005, 0.02176, 4.9805447
13999553, 0xAAAA, 0023, 0004, 0.02176, 4.9805447
14002664, 0xAAAA, 0024, 0004, 0.02176, 4.9805447
14005789, 0xAAAA, 0025, 0003, 0.02176, 4.9805447
14008926, 0xAAAA, 0026, 0003, 0.02095, 4.9805447
14012080, 0xAAAA, 0027, 0002, 0.02095, 4.9805447
14015236, 0xAAAA, 0028, 0002, 0.02015, 4.9805447
14018284, 0xAAAA, 0029, 0001, 0.01773, 4.9805447
14021409, 0xAAAA, 0030, 0001, 0.01128, 4.9805447
14024535, 0xAAAA, 0031, 0000, 0.01048, 4.9805447
14027671, 0xAAAA, 0032, 0000, 0.01128, 4.9805447
14030784, 0xAAAA, 0033, 0000, 0.00403, 4.9805447
14033911, 0xAAAA, 0034, 0000, 0.00403, 4.9805447
14037059, 0xAAAA, 0035, 0001, 0.00403, 4.9805447
14040226, 0xAAAA, 0036, 0001, 0.01048, 4.9805447
14043293, 0xAAAA, 0037, 0002, 0.01128, 4.9805447
14046426, 0xAAAA, 0038, 0002, 0.01209, 4.9805447
14049536, 0xAAAA, 0039, 0003, 0.01612, 4.9805447
14052899, 0xAAAA, 0040, 0003, 0.01612, 4.9805447
14055788, 0xAAAA, 0041, 0004, 0.01612, 4.9805447
14058914, 0xAAAA, 0042, 0004, 0.01692, 4.9805447
14062085, 0xAAAA, 0043, 0005, 0.01692, 4.9805447
14065237, 0xAAAA, 0044, 0005, 0.01692, 4.9805447
14068289, 0xAAAA, 0045, 0006, 0.01773, 4.9805447
14071430, 0xAAAA, 0046, 0006, 0.01853, 4.9805447
