unix, uptime, sync, seq, vsense, vrefint, temp1, temp2, temp3, temp4, busvmon, busimon, 2v5mon, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon, tmp1
-000954715334, 761755764, 0xDDDD, 0313, 1.22249, 0.61245, 22.31000, 22.31000, 22.50000, 22.56000, 0.00000, 0.00645, 0.00161, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 447.22223
-000954715018, 761787415, 0xDDDD, 0314, 1.22168, 0.61245, 22.37000, 22.31000, 22.50000, 22.50000, 0.00000, 0.00645, 0.00161, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00081, 447.22223
-000954714018, 761887390, 0xDDDD, 0315, 1.22168, 0.61165, 22.37000, 22.25000, 22.50000, 22.50000, 0.00000, 0.00645, 0.00161, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00161, 447.22223
-000954713018, 761987393, 0xDDDD, 0316, 1.22249, 0.61245, 22.37000, 22.25000, 22.56000, 22.50000, 0.00000, 0.00564, 0.00161, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00081, 447.22223
-000954712018, 762087405, 0xDDDD, 0317, 1.22168, 0.61245, 22.37000, 22.31000, 22.56000, 22.56000, 0.00000, 0.00484, 0.00161, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00081, 447.22223
-000954711018, 762187429, 0xDDDD, 0318, 1.22249, 0.61165, 22.37000, 22.31000, 22.56000, 22.56000, 0.00000, 0.00645, 0.00161, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00081, 447.22223
-000954719018, 762287425, 0xDDDD, 0319, 1.22168, 0.61245, 22.37000, 22.25000, 22.56000, 22.56000, 0.00000, 0.00564, 0.00161, 0.00000, 0.00081, 0.00000, 0.00000, 0.00000, 0.00081, 0.00000, 0.00081, 447.22223
-000954718018, 762387400, 0xDDDD, 0320, 1.22168, 0.61245, 22.37000, 22.25000, 22.56000, 22.56000, 0.00000, 0.00645, 0.00161, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 447.22223
-000954717018, 762487402, 0xDDDD, 0321, 1.22168, 0.61245, 22.37000, 22.25000, 22.56000, 22.56000, 0.00000, 0.00645, 0.00161, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 447.22223
-000954716018, 762587408, 0xDDDD, 0322, 1.22249, 0.61245, 22.37000, 22.25000, 22.56000, 22.56000, 0.00000, 0.00645, 0.00242, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00161, 447.22223
-000954715018, 762687401, 0xDDDD, 0323, 1.22168, 0.61165, 22.37000, 22.25000, 22.56000, 22.56000, 0.00000, 0.00645, 0.00161, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00081, 447.22223
