sync, unix, uptime, seq, vsense, vrefint, busvmon, busimon, 2v5mon, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon, temp1, temp2, temp3, temp4, tmp1
0xDDDD,  946684925, 2097121, 0021, 32.27106, 1.22249, 0.02901, 0.07897, 2.50220, 1.19026, 3.02923, 3.20974, 0.00000, 3.04938, 3.00828, 2.70044, 2.56022, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684925, 2197032, 0022, 31.86813, 1.22249, 1.33451, 0.00000, 0.00000, 25.60462, 0.02901, 0.00000, 0.01289, 1.01619, 0.18051, 3.32418, 0.02901, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684925, 2297125, 0023, 31.86813, 1.22249, 1.33531, 0.06850, 2.50220, 1.17092, 3.00828, 3.21216, 0.00000, 3.05179, 3.00828, 0.00000, 0.00000, 129.00000, 20.00000, 16.00000, -1022.87500, 447.22223
0xDDDD,  946684925, 2397126, 0024, 31.86813, 1.22249, 0.02901, 0.06125, 2.50220, 1.18381, 3.00667, 3.20491, 0.00000, 3.05099, 3.00747, 2.70125, 2.56183, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684925, 2497132, 0025, 31.86813, 1.22249, 0.02901, 0.07333, 2.50139, 1.17333, 3.03487, 3.20813, 0.00000, 3.05099, 3.00828, 2.70286, 2.56022, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684925, 2597126, 0026, 32.27106, 1.22249, 1.34418, 0.06286, 2.50220, 1.18542, 3.06227, 3.20088, 0.00000, 3.05018, 3.00828, 2.70044, 2.55861, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684925, 2697120, 0027, 32.27106, 1.22249, 1.33531, 0.06286, 2.50220, 1.17172, 3.01070, 3.21297, 0.00000, 3.05099, 3.00828, 2.70044, 2.56183, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684925, 2797134, 0028, 32.27106, 1.22330, 0.02901, 0.06769, 2.50220, 1.18139, 3.03648, 3.20652, 0.00000, 3.05018, 3.00828, 2.70125, 2.52799, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684925, 2897123, 0029, 31.86813, 1.22249, 0.02901, 0.06527, 2.50220, 1.19106, 3.06308, 3.21941, 0.00000, 3.05018, 3.00828, 2.70205, 2.57714, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684925, 2997126, 0030, 31.86813, 1.22249, 1.33451, 0.06608, 2.50220, 1.17575, 3.05985, 3.21216, 0.00000, 3.05018, 3.00828, 2.70125, 2.56022, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684926, 3097135, 0031, 32.27106, 1.22249, 1.33451, 0.06769, 2.50220, 1.18623, 3.00828, 3.21619, 0.00000, 3.05099, 3.00828, 2.70044, 2.56264, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684926, 3197126, 0032, 31.86813, 1.22249, 0.02901, 0.06205, 2.50220, 1.17575, 3.03568, 3.20894, 0.00000, 3.05099, 3.00828, 2.70205, 2.56505, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684926, 3297124, 0033, 31.86813, 1.22249, 0.02901, 0.07495, 2.50220, 1.18381, 3.06308, 3.20088, 0.00000, 3.04938, 3.00747, 2.70205, 2.56022, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684926, 3397129, 0034, 31.86813, 1.22249, 1.33531, 0.06125, 2.50220, 1.17172, 3.01070, 3.21297, 0.00000, 3.05260, 3.00908, 2.70205, 2.54410, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684926, 3497125, 0035, 32.27106, 1.22249, 1.33531, 0.07333, 2.50220, 1.18139, 3.03729, 3.20571, 0.00000, 3.05099, 3.00908, 2.70205, 2.53121, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684926, 3597107, 0036, 32.27106, 1.22330, 0.02901, 0.08784, 2.50300, 1.19106, 3.06630, 3.21861, 0.00000, 3.05099, 3.00828, 2.70044, 2.56344, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684926, 3697125, 0037, 31.86813, 1.22249, 0.02901, 0.07656, 2.50220, 1.17817, 3.06388, 3.21136, 0.00081, 3.04777, 3.00828, 2.70205, 2.56103, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684926, 3797134, 0038, 31.86813, 1.22249, 1.33531, 0.06205, 2.50220, 1.18623, 3.00989, 3.21619, 0.00000, 3.05099, 3.00828, 2.70205, 2.56505, 16.00000, 513.12500, 0.00000, 0.00000, 77.60073
0xDDDD,  946684926, 3897125, 0039, 32.27106, 1.22249, 0.02901, 0.07172, 2.50220, 1.17333, 3.03810, 3.20974, 0.00000, 3.05179, 3.00908, 2.70044, 2.55941, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
