sync, unix, uptime, seq, vsense, vrefint, busvmon, busimon, 2v5mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon, temp1, temp2, temp3, temp4, tmp1
0xDDDD, 1730293486, 000000, 0000, 29.04761, 1.22088, 1.10000, 0.14183, 2.49656, , 3.05824, 3.20813, 0.00000, 3.04777, 3.00505, 2.69802, 2.58520, 25.50000, 25.43750, 25.50000, 25.50000, 14.56450
0xDDDD, 1730293486, 024269, 0001, 29.04761, 1.22168, 1.33451, 0.06608, 2.49656, , 3.06711, 3.20168, 0.00000, 3.04857, 3.00505, 2.69883, 2.49817, 25.50000, 25.43750, 25.50000, 25.50000, 14.92266
0xDDDD, 1730293487, 124282, 0002, 29.04761, 1.22088, 1.33370, 0.06689, 2.49736, , 3.02037, 3.21136, 0.00000, 3.04857, 3.00505, 2.69802, 2.51026, 25.50000, 25.43750, 25.50000, 25.50000, 15.81808
0xDDDD, 1730293487, 224271, 0003, 29.04761, 1.22088, 1.33370, 0.07011, 2.49817, , 3.05018, 3.20974, 0.00000, 3.04857, 3.00586, 2.69722, 2.55700, 25.43750, 25.43750, 25.68750, 25.50000, 16.35531
0xDDDD, 1730293487, 324253, 0004, 28.64468, 1.22168, 1.33289, 0.06769, 2.49897, , 3.06711, 3.21055, 0.00000, 3.05018, 3.00586, 2.69963, 2.56103, 25.43750, 25.43750, 25.68750, 25.50000, 16.89255
0xDDDD, 1730293487, 424280, 0005, 29.04761, 1.22168, 1.33451, 0.06366, 2.49817, , 3.02117, 3.20410, 0.00000, 3.04938, 3.00586, 2.69883, 2.55861, 25.43750, 25.43750, 25.68750, 25.50000, 17.25071
0xDDDD, 1730293487, 524271, 0006, 29.04761, 1.22168, 1.33451, 0.07575, 2.49897, , 3.05421, 3.20571, 0.00000, 3.04938, 3.00667, 2.70125, 2.55861, 25.50000, 25.43750, 25.62500, 25.50000, 17.60886
0xDDDD, 1730293487, 624281, 0007, 28.64468, 1.22168, 1.33451, 0.07817, 2.49897, , 3.00908, 3.20733, 0.00000, 3.05099, 3.00667, 2.69802, 2.55861, 25.50000, 25.43750, 25.62500, 25.43750, 17.96702
0xDDDD, 1730293487, 724267, 0008, 29.45053, 1.22168, 1.33531, 0.06850, 2.49978, , 3.04132, 3.20894, 0.00000, 3.05018, 3.00667, 2.69963, 2.55941, 25.50000, 25.43750, 25.62500, 25.43750, 18.32518
0xDDDD, 1730293487, 824280, 0009, 29.45053, 1.22249, 1.33289, 0.08059, 2.49978, , 3.07597, 3.21377, 0.00000, 3.04857, 3.00667, 2.69883, 2.59568, 25.50000, 25.43750, 25.62500, 25.43750, 18.50426
0xDDDD, 1730293487, 924259, 0010, 29.04761, 1.22168, 1.33451, 0.07495, 2.49978, , 3.01392, 3.19766, 0.00000, 3.04777, 3.00747, 2.69802, 2.56022, 25.50000, 25.43750, 25.62500, 25.43750, 18.68334
0xDDDD, 1730293487, 1024285, 0011, 29.04761, 1.22168, 1.33370, 0.05883, 2.50059, , 3.04535, 3.21458, 0.00000, 3.04938, 3.00667, 2.70125, 2.56103, 25.43750, 25.43750, 25.68750, 25.43750, 19.04150
0xDDDD, 1730293488, 1124271, 0012, 29.04761, 1.22168, 1.33451, 0.08864, 2.50059, , 3.00425, 3.21780, 0.00000, 3.05018, 3.00747, 2.70044, 2.55941, 25.43750, 25.43750, 25.68750, 25.50000, 19.22060
0xDDDD, 1730293488, 1224278, 0013, 29.04761, 1.22168, 1.33370, 0.07495, 2.50059, , 3.03729, 3.20249, 0.00000, 3.04938, 3.00667, 2.69883, 2.55941, 25.50000, 25.43750, 25.68750, 25.50000, 19.22060
0xDDDD, 1730293488, 1324264, 0014, 29.04761, 1.22168, 1.33612, 0.06689, 2.50139, , 3.07275, 3.20491, 0.00000, 3.05179, 3.00667, 2.70125, 2.52396, 25.50000, 25.43750, 25.68750, 25.43750, 19.57876
0xDDDD, 1730293488, 1424287, 0015, 29.04761, 1.22249, 1.33451, 0.07656, 2.50139, , 3.02842, 3.20894, 0.00000, 3.05018, 3.00747, 2.69963, 2.57714, 25.50000, 25.43750, 25.62500, 25.43750, 19.75784
0xDDDD, 1730293488, 1524265, 0016, 29.45053, 1.22249, 1.33531, 0.06689, 2.50139, , 3.05018, 3.21216, 0.00000, 3.04938, 3.00747, 2.69963, 2.55861, 25.50000, 25.43750, 25.62500, 25.50000, 19.75784
0xDDDD, 1730293488, 1624286, 0017, 29.04761, 1.22249, 1.33531, 0.07978, 2.50139, , 3.00747, 3.21136, 0.00000, 3.05099, 3.00747, 2.69963, 2.55861, 25.50000, 25.43750, 25.62500, 25.50000, 19.75784
0xDDDD, 1730293488, 1724266, 0018, 29.45053, 1.22249, 1.33370, 0.05560, 2.50220, , 3.04132, 3.21458, 0.00000, 3.05099, 3.00747, 2.70125, 2.55780, 25.50000, 25.50000, 25.62500, 25.50000, 20.11600
0xDDDD, 1730293488, 1824283, 0019, 29.45053, 1.22249, 1.33451, 0.07978, 2.50139, , 3.08000, 3.20168, 0.00000, 3.05099, 3.00747, 2.70044, 2.55780, 25.50000, 25.50000, 25.62500, 25.50000, 20.11600
0xDDDD, 1730293488, 1924264, 0020, 29.04761, 1.22249, 1.33531, 0.06769, 2.50139, , 3.03648, 3.20571, 0.00000, 3.04938, 3.00747, 2.70125, 2.69399, 25.50000, 25.43750, 25.62500, 25.50000, 20.29507
0xDDDD, 1730293488, 2024291, 0021, 29.04761, 1.22168, 1.33451, 0.06286, 2.50220, , 3.07275, 3.21055, 0.00000, 3.05018, 3.00747, 2.70044, 2.55941, 25.50000, 25.43750, 25.62500, 25.50000, 20.47415
0xDDDD, 1730293489, 2124269, 0022, 29.45053, 1.22249, 1.33451, 0.07575, 2.50139, , 3.02923, 3.21780, 0.00000, 3.04857, 3.00828, 2.69963, 2.56264, 25.50000, 25.43750, 25.62500, 25.50000, 20.65323
0xDDDD, 1730293489, 2224283, 0023, 29.04761, 1.22249, 1.33531, 0.07011, 2.50220, , 3.05099, 3.20249, 0.00000, 3.05018, 3.00747, 2.69963, 2.55861, 25.43750, 25.43750, 25.68750, 25.50000, 20.65323
0xDDDD, 1730293489, 2324272, 0024, 29.04761, 1.22249, 1.33451, 0.08381, 2.50220, , 3.00747, 3.20410, 0.00000, 3.05018, 3.00747, 2.69963, 2.55700, 25.43750, 25.43750, 25.68750, 25.43750, 20.83231
0xDDDD, 1730293489, 2424283, 0025, 29.45053, 1.22249, 1.34659, 0.06689, 2.50220, , 3.04293, 3.20974, 0.00000, 3.05179, 3.00828, 2.70044, 2.56183, 25.50000, 25.43750, 25.68750, 25.43750, 20.83231
0xDDDD, 1730293489, 2524272, 0026, 29.04761, 1.22249, 1.33531, 0.07414, 2.50220, , 3.08322, 3.21619, 0.00000, 3.05179, 3.00828, 2.70205, 2.56264, 25.50000, 25.43750, 25.68750, 25.50000, 20.83231
0xDDDD, 1730293489, 2624279, 0027, 29.04761, 1.22249, 1.33531, 0.06527, 2.50220, , 3.03729, 3.20168, 0.00000, 3.05099, 3.00747, 2.70125, 2.59407, 25.50000, 25.43750, 25.68750, 25.50000, 21.01139
0xDDDD, 1730293489, 2724270, 0028, 29.45053, 1.22249, 1.33531, 0.06286, 2.50220, , 3.07436, 3.20813, 0.00000, 3.05018, 3.00828, 2.70044, 2.58037, 25.43750, 25.43750, 25.68750, 25.50000, 21.01139
0xDDDD, 1730293489, 2824285, 0029, 29.45053, 1.22249, 1.33451, 0.08059, 2.50220, , 3.01634, 3.21377, 0.00000, 3.05179, 3.00828, 2.70125, 2.56022, 25.43750, 25.43750, 25.68750, 25.50000, 21.19047
0xDDDD, 1730293489, 2924281, 0030, 29.85349, 1.22249, 1.33531, 0.06447, 2.50300, , 3.05179, 3.21458, 0.00000, 3.04857, 3.00828, 2.70286, 2.55941, 25.50000, 25.43750, 25.62500, 25.50000, 21.19047
0xDDDD, 1730293489, 3024287, 0031, 29.04761, 1.22249, 1.33531, 0.06527, 2.50220, , 3.00989, 3.20249, 0.00000, 3.05099, 3.00828, 2.70125, 2.56103, 25.50000, 25.43750, 25.62500, 25.43750, 21.36955
0xDDDD, 1730293490, 3124273, 0032, 29.45053, 1.22249, 1.33531, 0.06286, 2.50300, , 3.04535, 3.20894, 0.00000, 3.04535, 3.00828, 2.70125, 2.56344, 25.43750, 25.43750, 25.62500, 25.43750, 21.90678
0xDDDD, 1730293490, 3224256, 0033, 29.04761, 1.22249, 1.33531, 0.06850, 2.50220, , 3.08242, 3.21538, 0.00000, 3.04777, 3.00828, 2.70125, 2.53282, 25.43750, 25.43750, 25.62500, 25.43750, 21.36955
0xDDDD, 1730293490, 3324274, 0034, 29.45053, 1.22249, 1.33451, 0.08462, 2.50300, , 3.03890, 3.20249, 0.00000, 3.05099, 3.00828, 2.70044, 2.56747, 25.43750, 25.43750, 25.62500, 25.43750, 21.36955
0xDDDD, 1730293490, 3424258, 0035, 29.45053, 1.22249, 1.33531, 0.07656, 2.50220, , 3.05663, 3.20733, 0.00000, 3.04857, 3.00828, 2.70125, 2.56103, 25.50000, 25.43750, 25.62500, 25.43750, 21.54863
0xDDDD, 1730293490, 3524285, 0036, 29.85349, 1.22249, 1.33531, 0.07092, 2.50300, , 3.01231, 3.20894, 0.00000, 3.05018, 3.00828, 2.70044, 2.56022, 25.50000, 25.43750, 25.62500, 25.43750, 21.54863
0xDDDD, 1730293490, 3624296, 0037, 29.45053, 1.22249, 1.35868, 0.07575, 2.50300, , 3.04857, 3.21619, 0.00000, 3.05099, 3.00828, 2.69963, 2.55861, 25.50000, 25.50000, 25.62500, 25.43750, 21.72771
0xDDDD, 1730293490, 3724277, 0038, 29.45053, 1.22249, 1.33531, 0.06286, 2.50300, , 3.01553, 3.20249, 0.00000, 3.05260, 3.00828, 2.70044, 2.56183, 25.50000, 25.50000, 25.62500, 25.50000, 21.72771
0xDDDD, 1730293490, 3824260, 0039, 29.45053, 1.22249, 1.33531, 0.05963, 2.50300, , 3.04051, 3.20894, 0.00000, 3.05260, 3.00828, 2.70125, 2.55941, 25.50000, 25.43750, 25.68750, 25.50000, 21.72771
0xDDDD, 1730293490, 3924282, 0040, 29.45053, 1.22249, 1.33531, 0.07172, 2.50220, , 3.07919, 3.21458, 0.00000, 3.05018, 3.00828, 2.70044, 2.57231, 25.43750, 25.43750, 25.68750, 25.50000, 21.90678
0xDDDD, 1730293490, 4024263, 0041, 29.45053, 1.22249, 1.33451, 0.07897, 2.50300, , 3.03326, 3.20249, 0.00000, 3.05179, 3.00828, 2.69963, 2.56022, 25.43750, 25.43750, 25.68750, 25.43750, 21.90678
0xDDDD, 1730293491, 4124280, 0042, 29.45053, 1.22249, 1.33531, 0.07172, 2.50300, , 3.05179, 3.20894, 0.00000, 3.04777, 3.00828, 2.70125, 2.56103, 25.50000, 25.43750, 25.62500, 25.43750, 21.90678
0xDDDD, 1730293491, 4224262, 0043, 29.45053, 1.22249, 1.33531, 0.06125, 2.50300, , 3.00747, 3.20974, 0.00000, 3.05260, 3.00828, 2.70125, 2.56183, 25.50000, 25.43750, 25.62500, 25.43750, 21.36955
0xDDDD, 1730293491, 4324283, 0044, 29.45053, 1.22249, 1.33531, 0.07011, 2.50300, , 3.03971, 3.21538, 0.00000, 3.05179, 3.00828, 2.70125, 2.56183, 25.50000, 25.43750, 25.62500, 25.43750, 22.08586
0xDDDD, 1730293491, 4424266, 0045, 29.45053, 1.22249, 1.33451, 0.07897, 2.50220, , 3.07597, 3.20330, 0.00000, 3.04938, 3.00828, 2.70044, 2.56103, 25.50000, 25.43750, 25.62500, 25.43750, 22.08586
0xDDDD, 1730293491, 4524291, 0046, 29.45053, 1.22249, 1.33451, 0.07092, 2.50220, , 3.02923, 3.21055, 0.00000, 3.05260, 3.00828, 2.70044, 2.57311, 25.50000, 25.43750, 25.62500, 25.43750, 22.08586
0xDDDD, 1730293491, 4624266, 0047, 29.45053, 1.22249, 1.33451, 0.07817, 2.50220, , 3.06711, 3.19766, 0.00000, 3.05099, 3.00828, 2.70286, 2.56183, 25.50000, 25.43750, 25.68750, 25.43750, 22.08586
0xDDDD, 1730293491, 4724286, 0048, 29.04761, 1.22249, 1.33531, 0.06447, 2.50300, , 3.00989, 3.20491, 0.00000, 3.05260, 3.00828, 2.70125, 2.56264, 25.50000, 25.43750, 25.68750, 25.43750, 22.26494
0xDDDD, 1730293491, 4824279, 0049, 29.45053, 1.22249, 1.33531, 0.06608, 2.50300, , 3.04615, 3.20571, 0.00000, 3.05260, 3.00747, 2.70044, 2.56103, 25.50000, 25.43750, 25.68750, 25.43750, 22.26494
0xDDDD, 1730293491, 4924274, 0050, 29.45053, 1.22249, 1.33451, 0.07172, 2.50220, , 3.08161, 3.21297, 0.00000, 3.05260, 3.00828, 2.70125, 2.56183, 25.50000, 25.43750, 25.68750, 25.50000, 22.26494
0xDDDD, 1730293491, 5024270, 0051, 29.45053, 1.22249, 1.33451, 0.07978, 2.50220, , 3.03729, 3.20088, 0.00000, 3.05018, 3.00828, 2.70044, 2.56022, 25.50000, 25.43750, 25.62500, 25.50000, 22.26494
