sync, unix, uptime, seq, vsense, vrefint, busvmon, busimon, 2v5mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon, temp1, temp2, temp3, temp4, tmp1
0xDDDD, 1730293787, 000000, 0000, 28.64468, 1.22088, 1.14029, 0.14103, 2.49575, 3.03648, 3.20974, 0.00000, 3.04696, 3.00425, 2.69802, 2.57311, 25.37500, 25.43750, 25.43750, 25.43750, 14.74358
0xDDDD, 1730293787, 008282, 0001, 28.64468, 1.22088, 1.33370, 0.06447, 2.49656, 3.04132, 3.21136, 0.00000, 3.04938, 3.00425, 2.69802, 2.54571, 25.37500, 25.43750, 25.43750, 25.43750, 14.74358
0xDDDD, 1730293787, 108276, 0002, 28.64468, 1.22088, 1.33370, 0.06286, 2.49656, 3.08322, 3.20894, 0.00000, 3.04777, 3.00425, 2.69641, 2.55780, 25.37500, 25.37500, 25.56250, 25.43750, 15.63900
0xDDDD, 1730293787, 208282, 0003, 28.64468, 1.22088, 1.33531, 0.07495, 2.49736, 3.05018, 3.20491, 0.00000, 3.05099, 3.00505, 2.69802, 2.55861, 25.37500, 25.37500, 25.56250, 25.43750, 16.53439
0xDDDD, 1730293787, 308258, 0004, 29.04761, 1.22088, 1.33451, 0.06850, 2.49817, 3.02037, 3.20652, 0.00000, 3.04857, 3.00505, 2.69883, 2.55458, 25.37500, 25.43750, 25.56250, 25.43750, 16.71347
0xDDDD, 1730293787, 408285, 0005, 29.04761, 1.22088, 1.33370, 0.08220, 2.49817, 3.07194, 3.20813, 0.00000, 3.04615, 3.00586, 2.69883, 2.55538, 25.37500, 25.43750, 25.62500, 25.50000, 17.25071
0xDDDD, 1730293787, 508266, 0006, 29.04761, 1.22168, 1.33451, 0.06527, 2.49897, 3.04293, 3.21136, 0.00000, 3.04696, 3.00586, 2.69802, 2.52315, 25.37500, 25.43750, 25.62500, 25.50000, 17.60886
0xDDDD, 1730293787, 608287, 0007, 29.04761, 1.22007, 1.33370, 0.07817, 2.49978, 3.01714, 3.21538, 0.00000, 3.04535, 3.00586, 2.69883, 2.59004, 25.37500, 25.37500, 25.56250, 25.50000, 17.96702
0xDDDD, 1730293787, 708275, 0008, 29.04761, 1.22168, 1.33451, 0.08462, 2.49978, 3.05502, 3.20007, 0.00000, 3.04938, 3.00586, 2.69883, 2.55619, 25.37500, 25.37500, 25.56250, 25.50000, 18.32518
0xDDDD, 1730293787, 808300, 0009, 29.04761, 1.22168, 1.33370, 0.06527, 2.49978, 3.02842, 3.19846, 0.00000, 3.04938, 3.00667, 2.69802, 2.55780, 25.37500, 25.37500, 25.56250, 25.50000, 18.32518
0xDDDD, 1730293788, 908283, 0010, 29.04761, 1.22168, 1.33451, 0.06205, 2.49978, 3.08081, 3.20330, 0.00000, 3.04857, 3.00667, 2.69802, 2.55861, 25.37500, 25.37500, 25.56250, 25.43750, 18.68334
0xDDDD, 1730293788, 1008291, 0011, 29.45053, 1.22168, 1.34498, 0.07333, 2.50059, 3.05744, 3.20894, 0.00000, 3.04938, 3.00667, 2.69883, 2.55780, 25.37500, 25.37500, 25.56250, 25.43750, 18.86242
0xDDDD, 1730293788, 1108253, 0012, 29.04761, 1.22249, 1.33451, 0.07172, 2.50059, 3.03004, 3.21297, 0.00000, 3.05018, 3.00667, 2.70044, 2.53524, 25.37500, 25.37500, 25.56250, 25.43750, 19.04150
0xDDDD, 1730293788, 1208290, 0013, 29.04761, 1.22168, 1.33451, 0.05802, 2.50059, 3.00586, 3.19927, 0.00000, 3.05099, 3.00667, 2.69963, 2.56425, 25.37500, 25.37500, 25.56250, 25.43750, 19.22060
0xDDDD, 1730293788, 1308262, 0014, 29.04761, 1.22168, 1.33451, 0.07092, 2.50059, 3.04535, 3.20491, 0.00000, 3.04777, 3.00747, 2.70044, 2.55941, 25.37500, 25.37500, 25.62500, 25.43750, 19.39968
0xDDDD, 1730293788, 1408292, 0015, 29.45053, 1.22168, 1.33451, 0.06930, 2.50059, 3.01875, 3.20410, 0.00000, 3.05018, 3.00747, 2.69963, 2.55941, 25.43750, 25.37500, 25.62500, 25.43750, 19.57876
0xDDDD, 1730293788, 1508283, 0016, 29.45053, 1.22168, 1.33370, 0.06125, 2.50059, 3.07355, 3.20894, 0.00000, 3.05018, 3.00667, 2.70044, 2.55941, 25.43750, 25.43750, 25.62500, 25.43750, 19.75784
0xDDDD, 1730293788, 1608281, 0017, 29.45053, 1.22249, 1.33531, 0.06850, 2.50139, 3.04857, 3.21538, 0.00000, 3.05099, 3.00667, 2.70044, 2.55941, 25.37500, 25.43750, 25.56250, 25.43750, 19.93692
0xDDDD, 1730293788, 1708258, 0018, 29.04761, 1.22249, 1.33531, 0.06447, 2.50139, 3.02359, 3.20088, 0.00000, 3.05179, 3.00747, 2.69963, 2.55861, 25.37500, 25.43750, 25.56250, 25.43750, 19.93692
0xDDDD, 1730293788, 1808293, 0019, 29.04761, 1.22168, 1.33370, 0.07414, 2.50139, 3.07516, 3.20652, 0.00000, 3.04777, 3.00908, 2.70044, 2.56425, 25.37500, 25.37500, 25.56250, 25.43750, 20.11600
0xDDDD, 1730293789, 1908259, 0020, 29.45053, 1.22249, 1.33531, 0.06205, 2.50139, 3.05099, 3.21297, 0.00000, 3.05018, 3.00828, 2.70044, 2.55700, 25.37500, 25.37500, 25.56250, 25.43750, 20.29507
0xDDDD, 1730293789, 2008293, 0021, 29.04761, 1.22168, 1.33531, 0.07656, 2.50220, 3.01150, 3.19927, 0.00000, 3.04777, 3.00828, 2.69883, 2.56183, 25.37500, 25.43750, 25.56250, 25.43750, 20.47415
0xDDDD, 1730293789, 2108258, 0022, 29.04761, 1.22168, 1.33451, 0.06447, 2.50220, 3.06791, 3.20088, 0.00000, 3.05260, 3.00747, 2.69963, 2.56183, 25.37500, 25.43750, 25.62500, 25.50000, 19.93692
0xDDDD, 1730293789, 2208296, 0023, 29.45053, 1.22249, 1.33451, 0.06286, 2.50139, 3.04293, 3.20733, 0.00000, 3.05018, 3.00747, 2.69963, 2.56183, 25.37500, 25.43750, 25.62500, 25.50000, 20.47415
0xDDDD, 1730293789, 2308263, 0024, 29.45053, 1.22249, 1.33531, 0.07333, 2.50139, 3.01875, 3.21377, 0.00000, 3.04857, 3.00828, 2.70044, 2.56183, 25.37500, 25.37500, 25.62500, 25.50000, 20.65323
0xDDDD, 1730293789, 2408305, 0025, 29.45053, 1.22249, 1.33531, 0.06366, 2.50139, 3.07516, 3.20088, 0.00000, 3.05099, 3.00747, 2.69963, 2.59487, 25.37500, 25.37500, 25.62500, 25.50000, 20.83231
0xDDDD, 1730293789, 2508264, 0026, 29.04761, 1.22249, 1.33531, 0.06930, 2.50139, 3.04777, 3.20733, 0.00000, 3.05179, 3.00747, 2.69963, 2.56022, 25.37500, 25.37500, 25.56250, 25.50000, 20.83231
