11-29-2023, 12:55:56:33, sync, seq, vsense, vrefint, temp1, temp2, temp3, temp4, busvmon, busimon, 2v5mov, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon
11-29-2023, 12:55:58:580, , , , , , , , , , , , , , , , , , , 
11-29-2023, 12:55:58:711, 0xCCCC , 1624 , 1.407, 1.463, 22.370, 22.430, 22.930, 23.120, 1.843, 1.572, 1.673, 1.484, 1.503, 1.478, 1.558, 1.538, 1.665, 1.659, 1.511
11-29-2023, 12:55:58:808, 0xCCCC , 1625 , 1.484, 1.497, 22.370, 22.500, 22.930, 23.120, 1.754, 1.390, 2.055, 1.799, 2.034, 2.032, 2.048, 1.900, 1.986, 1.865, 1.620
11-29-2023, 12:55:58:937, 0xCCCC , 1626 , 1.421, 1.470, 22.370, 22.500, 22.870, 23.120, 1.792, 1.390, 2.055, 1.799, 2.034, 2.032, 2.048, 1.900, 1.986, 1.865, 1.620
11-29-2023, 12:55:59:72, 0xCCCC , 1627 , 1.395, 1.456, 22.370, 22.430, 22.870, 23.600, 1.813, 1.503, 1.650, 1.532, 1.539, 1.561, 1.566, 1.501, 1.523, 1.865, 1.620
11-29-2023, 12:55:59:197, 0xCCCC , 1628 , 1.400, 1.462, 22.370, 22.430, 22.930, 23.600, 1.826, 1.530, 1.649, 1.484, 1.501, 1.499, 1.539, 1.509, 1.621, 1.599, 1.456
11-29-2023, 12:55:59:331, 0xCCCC , 1629 , 1.496, 1.503, 22.370, 22.500, 22.870, 23.120, 1.829, 1.537, 1.647, 1.465, 1.481, 1.606, 1.531, 1.476, 1.534, 1.619, 1.470
11-29-2023, 12:55:59:455, 0xCCCC , 1630 , 1.490, 1.499, 22.370, 22.500, 22.870, 23.120, 1.822, 1.534, 1.626, 1.448, 1.466, 1.624, 1.511, 1.447, 1.505, 1.611, 1.461
11-29-2023, 12:55:59:588, 0xCCCC , 1631 , 1.412, 1.467, 22.370, 22.430, 22.930, 23.600, 1.812, 1.523, 1.607, 1.432, 1.584, 1.539, 1.492, 1.566, 1.465, 1.596, 1.445
11-29-2023, 12:55:59:945, 0xCCCC , 1632 , 1.423, 1.473, 22.370, 22.500, 22.930, 23.600, 1.822, 1.533, 1.625, 1.437, 1.498, 1.621, 1.511, 1.623, 1.491, 1.609, 1.459
11-29-2023, 12:56:00:436, 0xCCCC , 1635 , 1.401, 1.467, 22.370, 22.500, 22.870, 23.120, 1.836, 1.555, 1.625, 1.451, 1.525, 1.472, 1.509, 1.511, 1.628, 1.626, 1.479
11-29-2023, 12:56:01:568, 0xCCCC , 1639 , 1.495, 1.506, 22.370, 22.500, 22.870, 23.120, 1.815, 1.532, 1.590, 1.423, 1.628, 1.486, 1.475, 1.479, 1.629, 1.586, 1.442
11-29-2023, 12:56:01:697, 0xCCCC , 1648 , 1.418, 1.468, 22.370, 22.500, 22.930, 23.120, 1.827, 1.551, 1.613, 1.440, 1.651, 1.503, 1.497, 1.593, 1.496, 1.609, 1.462
11-29-2023, 12:56:02:183, 0xCCCC , 1649 , 1.405, 1.466, 22.370, 22.500, 22.930, 23.120, 1.844, 1.574, 1.645, 1.470, 1.549, 1.489, 1.527, 1.534, 1.653, 1.647, 1.496
11-29-2023, 12:56:03:318, 0xCCCC , 1653 , 1.495, 1.505, 22.370, 22.430, 22.930, 23.600, 1.812, 1.529, 1.586, 1.425, 1.603, 1.468, 1.467, 1.473, 1.619, 1.586, 1.442
11-29-2023, 12:56:03:933, 0xCCCC , 1662 , 1.507, 1.319, 22.370, 22.430, 22.930, 23.600, 1.822, 1.544, 1.604, 1.441, 1.644, 1.500, 1.484, 1.500, 1.628, 1.608, 1.460
11-29-2023, 12:56:04:446, 0xCCCC , 1667 , 1.403, 1.467, 22.370, 22.500, 22.870, 23.600, 1.842, 1.569, 1.637, 1.467, 1.543, 1.488, 1.525, 1.525, 1.663, 1.642, 1.490
11-29-2023, 12:56:05:63, 0xCCCC , 1671 , 1.398, 1.460, 22.370, 22.500, 22.930, 23.600, 1.837, 1.555, 1.626, 1.448, 1.505, 1.453, 1.508, 1.507, 1.640, 1.623, 1.474
11-29-2023, 12:56:05:547, 0xCCCC , 1676 , 1.504, 1.319, 22.370, 22.500, 22.870, 23.600, 1.823, 1.544, 1.606, 1.441, 1.642, 1.496, 1.485, 1.495, 1.645, 1.604, 1.452
11-29-2023, 12:56:05:679, 0xCCCC , 1680 , 1.418, 1.470, 22.370, 22.430, 22.870, 23.120, 1.832, 1.549, 1.618, 1.446, 1.657, 1.514, 1.495, 1.609, 1.490, 1.622, 1.473
11-29-2023, 12:56:06:192, 0xCCCC , 1681 , 1.418, 1.471, 22.370, 22.430, 22.870, 23.600, 1.827, 1.554, 1.612, 1.445, 1.654, 1.510, 1.496, 1.605, 1.486, 1.613, 1.468
11-29-2023, 12:56:06:803, 0xCCCC , 1685 , 1.492, 1.503, 22.370, 22.430, 22.930, 23.600, 1.829, 1.549, 1.615, 1.445, 1.656, 1.512, 1.498, 1.450, 1.505, 1.615, 1.467
