date, time, sync, seq, vsense, vrefint, temp1, temp2, temp3, temp4, busvmon, busimon, 2v5mon, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon, tmp1
00-01-01, T00:00:00.564100Z, 0xCCCC, 0000, 1.22249, 0.61568, 24.56000, 24.56000, 24.75000, 24.68000, 1.33692, 0.04029, 2.50139, 1.17495, 3.03165, 3.19201, 0.00000, 3.04615, 3.00747, 2.70044, 2.55861, 21.90678
24-07-29, T15:42:24.564100Z, 0xCCCC, 0001, 1.22168, 0.61568, 24.56000, 24.56000, 24.75000, 24.68000, 1.33612, 0.04110, 2.50139, 1.17575, 3.03648, 3.20571, 0.00000, 3.04938, 3.00747, 2.69963, 2.55619, 23.51852
24-07-29, T15:42:34.564100Z, 0xCCCC, 0002, 1.22168, 0.61648, 24.56000, 24.56000, 24.75000, 24.68000, 1.33692, 0.04110, 2.50139, 1.19429, 3.08242, 3.19363, 0.00000, 3.04938, 3.00747, 2.70125, 2.55861, 24.41391
24-07-29, T15:42:44.564100Z, 0xCCCC, 0003, 1.22168, 0.61729, 24.56000, 24.56000, 24.75000, 24.68000, 1.33692, 0.04352, 2.50139, 1.19670, 3.02037, 3.20249, 0.00000, 3.04615, 3.00908, 2.70125, 2.56264, 24.95115
24-07-29, T15:42:54.564100Z, 0xCCCC, 0004, 1.22168, 0.61648, 24.56000, 24.56000, 24.75000, 24.68000, 1.33612, 0.03465, 2.50139, 1.19751, 3.04051, 3.19685, 0.00000, 3.05018, 3.00747, 2.69963, 2.56183, 25.66747
24-07-29, T15:43:04.564100Z, 0xCCCC, 0005, 1.22168, 0.61568, 24.56000, 24.56000, 24.75000, 24.68000, 1.33692, 0.03868, 2.50059, 1.18542, 3.06147, 3.20088, 0.00000, 3.05018, 3.00747, 2.69963, 2.55780, 25.84654
24-07-29, T15:43:14.564100Z, 0xCCCC, 0006, 1.22168, 0.61648, 24.56000, 24.56000, 24.75000, 24.68000, 1.33612, 0.04110, 2.50139, 1.18703, 3.04857, 3.20410, 0.00000, 3.04938, 3.00747, 2.70044, 2.55861, 26.02562
24-07-29, T15:43:24.564100Z, 0xCCCC, 0007, 1.22168, 0.61729, 24.56000, 24.56000, 24.75000, 24.68000, 1.33612, 0.04674, 2.50139, 1.17414, 3.04293, 3.18718, 0.00000, 3.05099, 3.00828, 2.69963, 2.56022, 26.38381
24-07-29, T15:43:34.564100Z, 0xCCCC, 0008, 1.22249, 0.61729, 24.56000, 24.56000, 24.75000, 24.68000, 1.33612, 0.03626, 2.50139, 1.18945, 3.01634, 3.20491, 0.00000, 3.05099, 3.00747, 2.70044, 2.56022, 26.56289
24-07-29, T15:43:44.564100Z, 0xCCCC, 0009, 1.22168, 0.61729, 24.56000, 24.56000, 24.75000, 24.68000, 1.33612, 0.04352, 2.50139, 1.18300, 3.04454, 3.20652, 0.00000, 3.05099, 3.00747, 2.70044, 2.55861, 26.74197
24-07-29, T15:43:54.564100Z, 0xCCCC, 0010, 1.22168, 0.61729, 24.56000, 24.56000, 24.75000, 24.68000, 1.33692, 0.03949, 2.50059, 1.18945, 3.04938, 3.18960, 0.00000, 3.04938, 3.00747, 2.70044, 2.55619, 26.74197
24-07-29, T15:44:04.564100Z, 0xCCCC, 0011, 1.22168, 0.61729, 24.56000, 24.56000, 24.75000, 24.68000, 1.33692, 0.03546, 2.50139, 1.19509, 3.01795, 3.20974, 0.00000, 3.04857, 3.00747, 2.70125, 2.55619, 27.10012
