uptime, sync, seq, adc
000000, 0xBBBB, 0000, 0.0000000
062412, 0xBBBB, 0001, 0.0000000
124908, 0xBBBB, 0002, 3.2355230
187416, 0xBBBB, 0003, 3.2353704
249901, 0xBBBB, 0004, 3.2353704
312412, 0xBBBB, 0005, 3.2352941
374906, 0xBBBB, 0006, 3.2353704
437419, 0xBBBB, 0007, 3.2353704
499923, 0xBBBB, 0008, 3.2352941
562407, 0xBBBB, 0009, 3.2354467
624903, 0xBBBB, 0010, 3.2353704
687415, 0xBBBB, 0011, 3.2352941
749900, 0xBBBB, 0012, 3.2353704
812421, 0xBBBB, 0013, 3.2355993
874913, 0xBBBB, 0014, 3.2352178
937399, 0xBBBB, 0015, 3.2353704
999908, 0xBBBB, 0016, 3.2356756
1062402, 0xBBBB, 0017, 3.2353704
1124913, 0xBBBB, 0018, 3.2353704
1187408, 0xBBBB, 0019, 3.2353704
1249901, 0xBBBB, 0020, 3.2353704
1312416, 0xBBBB, 0021, 3.2352941
1374900, 0xBBBB, 0022, 3.2352941
1437408, 0xBBBB, 0023, 3.2352178
1499913, 0xBBBB, 0024, 3.2354467
1562403, 0xBBBB, 0025, 3.2352941
1624908, 0xBBBB, 0026, 3.2353704
1687401, 0xBBBB, 0027, 3.2355230
1749902, 0xBBBB, 0028, 3.2354467
1812415, 0xBBBB, 0029, 3.2354467
1874900, 0xBBBB, 0030, 3.2353704
1937415, 0xBBBB, 0031, 3.2353704
1999901, 0xBBBB, 0032, 3.2353704
2062400, 0xBBBB, 0033, 3.2357519
2124922, 0xBBBB, 0034, 3.2356756
2187409, 0xBBBB, 0035, 3.2353704
2249913, 0xBBBB, 0036, 3.2354467
2312401, 0xBBBB, 0037, 3.2352941
2374902, 0xBBBB, 0038, 3.2353704
2437408, 0xBBBB, 0039, 3.2355230
2499900, 0xBBBB, 0040, 3.2353704
2562425, 0xBBBB, 0041, 3.2353704
2624899, 0xBBBB, 0042, 3.2352941
2687400, 0xBBBB, 0043, 3.2353704
2749911, 0xBBBB, 0044, 3.2353704
2812407, 0xBBBB, 0045, 3.2355230
2874916, 0xBBBB, 0046, 3.2353704
