sync, uptime, seq, adc
0xFFFF, 2062209, 0033, 3.2027161
0xFFFF, 2124662, 0034, 3.2026398
0xFFFF, 2187212, 0035, 3.2024872
0xFFFF, 2249681, 0036, 3.2025635
0xFFFF, 2312217, 0037, 3.2024872
0xFFFF, 2374674, 0038, 3.2024109
0xFFFF, 2437219, 0039, 3.2024109
0xFFFF, 2499670, 0040, 3.2023346
0xFFFF, 2562224, 0041, 3.2025635
0xFFFF, 2624662, 0042, 3.2024872
0xFFFF, 2687209, 0043, 3.2023346
0xFFFF, 2749662, 0044, 3.2030213
0xFFFF, 2812211, 0045, 3.2026398
0xFFFF, 2874682, 0046, 3.2024872
0xFFFF, 2937216, 0047, 3.2024872
0xFFFF, 2999673, 0048, 3.2025635
0xFFFF, 3062221, 0049, 3.2024872
0xFFFF, 3124670, 0050, 3.2025635
0xFFFF, 3187229, 0051, 3.2023346
0xFFFF, 3249662, 0052, 3.2024109
0xFFFF, 3312209, 0053, 3.2022583
0xFFFF, 3374663, 0054, 3.2024109
0xFFFF, 3437211, 0055, 3.2027161
0xFFFF, 3499672, 0056, 3.2025635
0xFFFF, 3562216, 0057, 3.2024872
0xFFFF, 3624673, 0058, 3.2024872
0xFFFF, 3687212, 0059, 3.2024872
0xFFFF, 3749670, 0060, 3.2024872
0xFFFF, 3812230, 0061, 3.2024872
0xFFFF, 3874674, 0062, 3.2024109
0xFFFF, 3937209, 0063, 3.2024872
0xFFFF, 3999662, 0064, 3.2022583
0xFFFF, 4062212, 0065, 3.2024109
0xFFFF, 4124662, 0066, 3.2024109
0xFFFF, 4187217, 0067, 3.2028687
0xFFFF, 4249662, 0068, 3.2024872
0xFFFF, 4312211, 0069, 3.2024872
0xFFFF, 4374671, 0070, 3.2024872
0xFFFF, 4437230, 0071, 3.2023346
0xFFFF, 4499673, 0072, 3.2022583
0xFFFF, 4562219, 0073, 3.2024109
0xFFFF, 4624662, 0074, 3.2023346
0xFFFF, 4687213, 0075, 3.2024109
0xFFFF, 4749662, 0076, 3.2024872
0xFFFF, 4812216, 0077, 3.2024872
0xFFFF, 4874663, 0078, 3.2024109
0xFFFF, 4937211, 0079, 3.2024109
0xFFFF, 4999670, 0080, 3.2023346
0xFFFF, 5062220, 0081, 3.2026398
0xFFFF, 5124680, 0082, 3.2024109
0xFFFF, 5187221, 0083, 3.2024872
0xFFFF, 5249670, 0084, 3.2024109
0xFFFF, 5312212, 0085, 3.2027924
0xFFFF, 5374663, 0086, 3.2025635
0xFFFF, 5437215, 0087, 3.2025635
0xFFFF, 5499662, 0088, 3.2024872
0xFFFF, 5562212, 0089, 3.2021057
0xFFFF, 5624662, 0090, 3.2025635
0xFFFF, 5687220, 0091, 3.2025635
0xFFFF, 5749682, 0092, 3.2024109
0xFFFF, 5812220, 0093, 3.2023346
0xFFFF, 5874671, 0094, 3.2024872
