date, time, sync, seq, adc
24-06-11, T09:53:35.465Z, 0xBBBB, 0277, 0.2744335
24-06-11, T09:53:35.586Z, 0xBBBB, 0278, 0.2744335
24-06-11, T09:53:36.681Z, 0xBBBB, 0279, 0.2744335
24-06-11, T09:53:37.046Z, 0xBBBB, 0283, 0.2744335
24-06-11, T09:53:38.249Z, 0xBBBB, 0285, 0.2744335
24-06-11, T09:53:38.626Z, 0xBBBB, 0290, 0.2744335
24-06-11, T09:53:38.870Z, 0xBBBB, 0292, 0.2744335
24-06-11, T09:53:39.965Z, 0xBBBB, 0293, 0.2744335
24-06-11, T09:53:40.571Z, 0xBBBB, 0300, 0.2744335
24-06-11, T09:53:40.694Z, 0xBBBB, 0301, 0.2744335
24-06-11, T09:53:41.665Z, 0xBBBB, 0302, 0.2744335
24-06-11, T09:53:41.909Z, 0xBBBB, 0309, 0.2744335
24-06-11, T09:53:45.314Z, 0xBBBB, 0311, 0.2744335
