11-29-2023, 12:55:56:33, sync, seq, adc
11-29-2023, 12:56:00:692, , , 
11-29-2023, 12:56:00:789, 0xBBBB, 1956, 3.051
11-29-2023, 12:56:00:889, 0xBBBB, 1957, 3.051
11-29-2023, 12:56:00:983, 0xBBBB, 1958, 3.051
11-29-2023, 12:56:01:83, 0xBBBB, 1959, 3.051
11-29-2023, 12:56:01:180, 0xBBBB, 1960, 3.051
11-29-2023, 12:56:01:273, 0xBBBB, 1961, 3.051
11-29-2023, 12:56:01:408, 0xBBBB, 1962, 3.051
11-29-2023, 12:56:01:505, 0xBBBB, 1963, 3.051
11-29-2023, 12:56:01:600, 0xBBBB, 1964, 3.051
11-29-2023, 12:56:01:697, 0xBBBB, 1965, 3.051
11-29-2023, 12:56:01:765, 0xBBBB, 1966, 3.051
11-29-2023, 12:56:01:891, 0xBBBB, 1967, 3.051
11-29-2023, 12:56:01:992, 0xBBBB, 1968, 3.051
11-29-2023, 12:56:02:90, 0xBBBB, 1969, 3.051
11-29-2023, 12:56:02:183, 0xBBBB, 1970, 3.051
11-29-2023, 12:56:02:285, 0xBBBB, 1971, 3.051
11-29-2023, 12:56:02:383, 0xBBBB, 1972, 3.051
11-29-2023, 12:56:02:476, 0xBBBB, 1973, 3.051
11-29-2023, 12:56:02:573, 0xBBBB, 1974, 3.051
11-29-2023, 12:56:02:674, 0xBBBB, 1975, 3.051
11-29-2023, 12:56:02:801, 0xBBBB, 1976, 3.051
11-29-2023, 12:56:02:867, 0xBBBB, 1977, 3.051
11-29-2023, 12:56:02:964, 0xBBBB, 1978, 3.051
11-29-2023, 12:56:03:88, 0xBBBB, 1979, 3.051
11-29-2023, 12:56:03:286, 0xBBBB, 1980, 3.051
11-29-2023, 12:56:03:380, 0xBBBB, 1982, 3.051
11-29-2023, 12:56:03:482, 0xBBBB, 1983, 3.051
11-29-2023, 12:56:03:580, 0xBBBB, 1984, 3.051
11-29-2023, 12:56:03:672, 0xBBBB, 1985, 3.051
11-29-2023, 12:56:03:769, 0xBBBB, 1986, 3.051
11-29-2023, 12:56:03:868, 0xBBBB, 1987, 3.051
11-29-2023, 12:56:03:964, 0xBBBB, 1988, 3.051
11-29-2023, 12:56:04:95, 0xBBBB, 1989, 3.051
11-29-2023, 12:56:04:193, 0xBBBB, 1990, 3.051
11-29-2023, 12:56:04:285, 0xBBBB, 1991, 3.051
11-29-2023, 12:56:04:380, 0xBBBB, 1992, 3.051
11-29-2023, 12:56:04:480, 0xBBBB, 1993, 3.051
11-29-2023, 12:56:04:578, 0xBBBB, 1994, 3.051
11-29-2023, 12:56:04:677, 0xBBBB, 1995, 3.051
11-29-2023, 12:56:04:776, 0xBBBB, 1996, 3.051
11-29-2023, 12:56:04:869, 0xBBBB, 1997, 3.051
11-29-2023, 12:56:04:995, 0xBBBB, 1998, 3.051
11-29-2023, 12:56:05:63, 0xBBBB, 1999, 3.051
11-29-2023, 12:56:05:163, 0xBBBB, 2000, 3.051
11-29-2023, 12:56:05:259, 0xBBBB, 2001, 3.051
11-29-2023, 12:56:05:392, 0xBBBB, 2002, 3.051
11-29-2023, 12:56:05:485, 0xBBBB, 2003, 3.051
11-29-2023, 12:56:05:578, 0xBBBB, 2004, 3.051
11-29-2023, 12:56:05:679, 0xBBBB, 2005, 3.051
11-29-2023, 12:56:05:778, 0xBBBB, 2006, 3.051
11-29-2023, 12:56:05:873, 0xBBBB, 2007, 3.051
11-29-2023, 12:56:05:974, 0xBBBB, 2008, 3.051
11-29-2023, 12:56:06:68, 0xBBBB, 2009, 3.051
11-29-2023, 12:56:06:160, 0xBBBB, 2010, 3.051
11-29-2023, 12:56:06:292, 0xBBBB, 2011, 3.051
11-29-2023, 12:56:06:360, 0xBBBB, 2012, 3.051
