date, time, sync, seq, adc
24-07-05, T13:16:45.207437Z, 0xBBBB, 0000, 0.0000000
24-07-05, T13:16:45.269935Z, 0xBBBB, 0001, 0.0000000
24-07-05, T13:16:45.332438Z, 0xBBBB, 0002, 0.0000000
24-07-05, T13:16:45.394936Z, 0xBBBB, 0003, 0.0000000
24-07-05, T13:16:45.457435Z, 0xBBBB, 0004, 0.0000000
24-07-05, T13:16:45.519935Z, 0xBBBB, 0005, 0.0000000
24-07-05, T13:16:45.582441Z, 0xBBBB, 0006, 0.0000000
24-07-05, T13:16:45.644937Z, 0xBBBB, 0007, 0.0000000
24-07-05, T13:16:45.707435Z, 0xBBBB, 0008, 0.0000000
24-07-05, T13:16:45.769935Z, 0xBBBB, 0009, 0.0000000
24-07-05, T13:16:45.832438Z, 0xBBBB, 0010, 0.0000000
24-07-05, T13:16:45.894938Z, 0xBBBB, 0011, 0.0000000
24-07-05, T13:16:45.957435Z, 0xBBBB, 0012, 0.0000000
24-07-05, T13:16:45.019937Z, 0xBBBB, 0013, 0.0000000
24-07-05, T13:16:45.033861Z, 0xBBBB, 0014, 0.0000000
24-07-05, T13:16:46.096361Z, 0xBBBB, 0015, 0.0000000
24-07-05, T13:16:46.158859Z, 0xBBBB, 0016, 0.0000000
24-07-05, T13:16:46.221359Z, 0xBBBB, 0017, 0.0000000
24-07-05, T13:16:46.283862Z, 0xBBBB, 0018, 0.0000000
24-07-05, T13:16:46.346362Z, 0xBBBB, 0019, 0.0000000
24-07-05, T13:16:46.408859Z, 0xBBBB, 0020, 0.0000000
24-07-05, T13:16:46.471359Z, 0xBBBB, 0021, 0.0000000
24-07-05, T13:16:46.533861Z, 0xBBBB, 0022, 0.0000000
24-07-05, T13:16:46.596361Z, 0xBBBB, 0023, 0.0000000
24-07-05, T13:16:46.658859Z, 0xBBBB, 0024, 0.0000000
24-07-05, T13:16:46.721359Z, 0xBBBB, 0025, 0.0000000
24-07-05, T13:16:46.783862Z, 0xBBBB, 0026, 0.0000000
24-07-05, T13:16:46.846365Z, 0xBBBB, 0027, 0.0000000
24-07-05, T13:16:46.908859Z, 0xBBBB, 0028, 0.0000000
24-07-05, T13:16:46.971359Z, 0xBBBB, 0029, 0.0000000
24-07-05, T13:16:46.033862Z, 0xBBBB, 0030, 0.0000000
24-07-05, T13:16:46.047786Z, 0xBBBB, 0031, 0.0000000
24-07-05, T13:16:47.110283Z, 0xBBBB, 0032, 0.0000000
24-07-05, T13:16:47.172783Z, 0xBBBB, 0033, 0.0000000
24-07-05, T13:16:47.235283Z, 0xBBBB, 0034, 0.0000000
24-07-05, T13:16:47.297789Z, 0xBBBB, 0035, 0.0000000
24-07-05, T13:16:47.360284Z, 0xBBBB, 0036, 0.0000000
24-07-05, T13:16:47.422783Z, 0xBBBB, 0037, 0.0000000
24-07-05, T13:16:47.485283Z, 0xBBBB, 0038, 0.0000000
24-07-05, T13:16:47.547786Z, 0xBBBB, 0039, 0.0000000
24-07-05, T13:16:47.610285Z, 0xBBBB, 0040, 0.0000000
