uptime, sync, seq, adc
13927930, 0xBBBB, 0000, 4.9805447
13989889, 0xBBBB, 0001, 4.9805447
14052390, 0xBBBB, 0002, 4.9805447
14114889, 0xBBBB, 0003, 1.0742351
14177403, 0xBBBB, 0004, 4.9805447
14239889, 0xBBBB, 0005, 4.9805447
14302388, 0xBBBB, 0006, 4.9805447
14364888, 0xBBBB, 0007, 4.9805447
14427399, 0xBBBB, 0008, 4.9805447
14489902, 0xBBBB, 0009, 4.9805447
14552400, 0xBBBB, 0010, 4.9805447
14614918, 0xBBBB, 0011, 4.9805447
14677404, 0xBBBB, 0012, 4.9805447
14739893, 0xBBBB, 0013, 4.9805447
14802391, 0xBBBB, 0014, 4.9805447
14864891, 0xBBBB, 0015, 4.9805447
14927390, 0xBBBB, 0016, 4.9805447
14989891, 0xBBBB, 0017, 4.9805447
15052400, 0xBBBB, 0018, 4.9805447
15114889, 0xBBBB, 0019, 4.9805447
15177404, 0xBBBB, 0020, 4.9805447
15239898, 0xBBBB, 0021, 4.9805447
15302387, 0xBBBB, 0022, 4.9805447
15364900, 0xBBBB, 0023, 4.9805447
15427403, 0xBBBB, 0024, 4.9805447
15489888, 0xBBBB, 0025, 4.9805447
15552412, 0xBBBB, 0026, 4.9805447
15614886, 0xBBBB, 0027, 1.1718929
15677387, 0xBBBB, 0028, 4.9805447
15739902, 0xBBBB, 0029, 1.1914244
15802391, 0xBBBB, 0030, 4.9805447
15864891, 0xBBBB, 0031, 4.9805447
15927398, 0xBBBB, 0032, 4.9805447
15989892, 0xBBBB, 0033, 4.9805447
16052391, 0xBBBB, 0034, 4.9805447
16114889, 0xBBBB, 0035, 1.2109560
16177390, 0xBBBB, 0036, 4.9805447
16239903, 0xBBBB, 0037, 1.2304875
16302404, 0xBBBB, 0038, 4.9805447
16364904, 0xBBBB, 0039, 4.9805447
16427387, 0xBBBB, 0040, 4.9805447
16489888, 0xBBBB, 0041, 4.9805447
16552388, 0xBBBB, 0042, 4.9805447
16614886, 0xBBBB, 0043, 4.9805447
16677387, 0xBBBB, 0044, 4.9805447
16739904, 0xBBBB, 0045, 4.9805447
16802396, 0xBBBB, 0046, 4.9805447
16864891, 0xBBBB, 0047, 4.9805447
16927392, 0xBBBB, 0048, 4.9805447
16989890, 0xBBBB, 0049, 4.9805447
17052391, 0xBBBB, 0050, 4.9805447
17114900, 0xBBBB, 0051, 4.9805447
17177390, 0xBBBB, 0052, 4.9805447
17239914, 0xBBBB, 0053, 4.9805447
17302416, 0xBBBB, 0054, 4.9805447
17364887, 0xBBBB, 0055, 4.9805447
17427387, 0xBBBB, 0056, 4.9805447
17489886, 0xBBBB, 0057, 4.9805447
17552388, 0xBBBB, 0058, 4.9805447
17614886, 0xBBBB, 0059, 4.9805447
17677396, 0xBBBB, 0060, 4.9805447
17739886, 0xBBBB, 0061, 4.9805447
17802403, 0xBBBB, 0062, 4.9805447
17864891, 0xBBBB, 0063, 4.9805447
17927390, 0xBBBB, 0064, 4.9805447
17989891, 0xBBBB, 0065, 4.9805447
18052403, 0xBBBB, 0066, 4.9805447
18114903, 0xBBBB, 0067, 4.9805447
18177403, 0xBBBB, 0068, 4.9805447
18239918, 0xBBBB, 0069, 1.3867399
